repo,score
aleixmorgadas/thin-ports-and-adapters,30.0
Tushar-Kapil/DSA-Notes,30.0
Gayanukaa/Spring-Boot-Playground,90.0
ENATION-UK/page-builder,80.0
ThomasVitale/langchain4j-spring-boot,917.5
sqlparser/java_data_lineage,42.5
uaoan/DkPlayer,217.5
MEEPofFaith/hallucinogen,430.0
dee-coder01/BusBuddy,457.5
thomasdarimont/keycloak-opa-authz-demo,37.5
ErayMert/microservice-log-tracing,30.0
5ec1cff/CopySign,30.0
borjavb/bq-lineage-tool,42.5
MetaGLM/zhipuai-sdk-java-v4,632.5
SearchScale/lucene-cuvs,275.0
digitalfondue/mjml4j,155.0
CollaBu/pennyway-was,4742.5
habuma/spring-ai-examples,80.0
chiteroman/FrameworkPatch,95.0
LadyJessie19/MyFood,30.0
CRLauncher/CRLauncher,2677.5
Hunterdii/GeeksforGeeks-POTD,135.0
arconia-io/arconia,392.5
Ahmad45123/workup,892.5
SarthakChaudhary46/100-Days-Of-CODE,30.0
linux-china/sieve-cache,92.5
Stark-8/text-encryption-AES,30.0
Bram1903/AntiHealthIndicator,902.5
GizaSystems/AutomationExercisePractice,532.5
xyzbtw/StashMoverPlugin,300.0
sweelam/api-design-and-management-talk,157.5
phyce/rl-natural-speech,372.5
Kir-Antipov/cubes-without-borders,1910.0
ThomasVitale/llm-apps-java-langchain4j,30.0
CleanroomMC/Fugue,3270.0
jinganix/guess,485.0
CRANKV2/STRP-Profile-App,30.0
GreenJAB/fixed-minecraft,215.0
babyfish-ct/jimmer-examples,37.5
Vadym79/AWSLambdaJavaWithSpringBoot,30.0
Hejow/easy-restdocs-generator,417.5
glaforge/gemini-workshop-for-java-developers,100.0
ErrorxCode/JxInsta,152.5
jlokitha/Library-Management-System,382.5
ThomasVitale/llm-apps-java-spring-ai,65.0
find-xposed-magisk/LSPatch,122.5
walimorris/opensquare,30.0
yiyuan9/abitoflink,277.5
findhumane/react-native-threaded-downloader,80.0
xyzeva/ender-relay,205.0
chamaadesilva/BookWorm-Library_Management_System,30.0
ljmc2000/NoiseLooper,540.0
prakarshs/Jhethia,67.5
duckietm/Arcturus-Morningstar-Extended,75.0
JustAlittleWolf/ModDetectionPreventer,242.5
DevBobcorn/AcryliCraft,847.5
burukeYou/fast-retry,55.0
pinterest/tiered-storage,352.5
jetty/jetty-examples,755.0
Cvrws/Haru,380.0
EasyG0ing1/Migration,192.5
dnwwdwd/homieMatching,100.0
NguyenDuck/blocktopograph,327.5
HexArchBook/bluezone_pro,30.0
shnok/l2-unity-gameserver,635.0
Katana-Official/Meta,830.0
Anjaligaddamidi/javalab,45.0
MirnaGama/hospital-management-api,442.5
xflow3r/EP2-solutions,42.5
administrateclouds/animations,75.0
StyraInc/opa-java,3060.0
stuetzlec/merrimack_cs_examples,30.0
vesavvo/design_patterns,30.0
KarinJS/QwQ,45.0
DJ-Raven/java-messenger,52.5
OGminso/ChatHeadFont,245.0
DHD2280/BCR-Manager,557.5
Yanyutin753/refresh-gpt-chat,542.5
serifpersia/esp32partitiontool,390.0
xdev-software/spring-data-eclipse-store,2532.5
jonas-grgt/bob,520.0
ZJU-ACES-ISE/ChatTester,30.0
lgdd/liferay-client-extensions-samples,37.5
gayanukabulegoda/Hibernate-ORM-Lesson,217.5
MehVahdJukaar/polytone,697.5
javpower/easy-flv,87.5
VanceVagell/kv4p-ht,1630.0
catchpoint/Tracing.examples-kubernetes-java,75.0
SUDHARSUN2003/Accident-Detection-And-Notification,30.0
vdaburon/har-convertor-jmeter-plugin,492.5
oldmanpushcart/qianfan4j,80.0
undermad/diet-generator-api,247.5
970263611/redisx,492.5
KhushPatibandha/RiceDB,60.0
1brc/nodejs,52.5
MaysHroub/data-structures,30.0
igor-pcholkin/DataAnonymization,80.0
marcolenzo/hexagonal-architecture-spring-sample,30.0
HeliosMinecraft/HeliosClient,80.0
EasyDarwin/EasyGBD,60.0
openfga/spring-boot-starter,505.0
ismael221/OpenStreamify,127.5
vishalmysore/sam,42.5
VictorModi/Lyrics-Getter-Ext,230.0
Araykal/Open-Karhu,137.5
koupleless/runtime,2925.0
danvega/fcc-spring-boot-3,42.5
apache/doris-kafka-connector,560.0
SemyonSinchenko/spark-connect-example,42.5
sameh-tarek/Fawry-Internship,90.0
guybedo/sugar,67.5
MobinaMhr/Compiler-Course-Projects-S2024,30.0
hssy252/sky,30.0
xielong/ai-hub,42.5
NovaEngineering-Source/StellarCore,802.5
Tvenus/blockchain,30.0
jdubois/jdubois-langchain4j-demo,172.5
Apress/ChatGPT-for-Java,80.0
CASELOAD7000/knockback-sync,600.0
tzolov/spring-ai-function-calling-portability,30.0
offici5l/MiBypassTool,217.5
HaHaWTH/HAProxy-Detector,80.0
ryuu9505/spring-pokemon-center,30.0
Gary-yang1/JYso,30.0
AkashKobal/java-full-stack-developement,912.5
gyuwon/ArchitecturalRunwayGuidelines,67.5
BeiShanair/tutorialmod-1.20,1080.0
sviperll/result4j,247.5
Keksuccino/Linguji,392.5
KasugaLibGroup/KasugaLib,1975.0
chengenzhao/java-vulkan-mac,30.0
dzaima/grr,30.0
jakzo/Il2CppDecompiler,42.5
ollama4j/ollama4j-web-ui,272.5
waboke/calculator_app_java,1060.0
wch2019/xiaohai-blog,60.0
Poempoat/LimboEmulatorPlus,362.5
AkshathSai/streamspace,967.5
gama-platform/gama,2342.5
koupleless/koupleless,3155.0
alegian/thaumcraft7,45.0
ourfor/iPlay,3405.0
blumek/aura-tower,30.0
renmeijian/HealthChecker,37.5
easystartup-io/k3s-simplified,837.5
mmd-nemati/Compiler-Course-Projects-F2023,30.0
Kamesuta/BungeePteroPower,625.0
aliyun/dataworks-spec,895.0
danvega/rest-client-examples,42.5
danvega/spring-common-mistakes,342.5
ndancing/bitcask,30.0
reivaxy/kinetix,780.0
TharunPerera/Fish-Aquarium-Management-System,30.0
brian7704/OpenTAK_ICU,722.5
d1tto/Rengar,42.5
cubk1/vapev3-opensource,42.5
chensheng/ddd-boot,30.0
oguzkaran/JavaApp2-Jan-2024,30.0
antlr/antlr5,547.5
Rozmir-Rohi/mo-creatures-legacy,272.5
Jumman04/DataManager,480.0
WMS-DEV/usos4j,530.0
karthikreddy-7/TCS-NQT-CODING-SHEET,172.5
EladLeev/KeyToField-smt,375.0
Lord-of-Algorithms/DSA-in-Java,30.0
hollow-cube/mql,210.0
coralblocks/CoralProto,30.0
Direwolf20-MC/JustDireThings,1017.5
armankhondker/leetcode-solutions,30.0
H3Art-q/JNU-IS-CST-Courses,30.0
MrCrayfish/MrCrayfishFurnitureMod-Refurbished,775.0
maveniverse/toolbox,3262.5
TFyre/bambu-farm,1415.0
sidduganeshsid/Core-Java,67.5
cezarysanecki/parking-domain,1370.0
JaneMandy/CVE-2023-51467-Exploit,80.0
zhushimmer/enhance-rpc-zt,30.0
SandhyaMadhunagula/Javalab,67.5
naveenanimation20/SeleniumKeywordDrivenFramework,80.0
Trendyol/kafkathena-jakarta,80.0
google-checks/checks-jenkins-plugin,180.0
evpl/jkscope,280.0
semih-turan/The-Full-Stack-Web-Development-Bootcamp,30.0
OWASP/www-project-netryx,37.5
weilueluo/tsm4j,135.0
frc-862/rhapsody,2722.5
vsouzx/Events-Driven-Ecommerce,42.5
JeevananthamPrabhu/to-do-list-full-stack-java,30.0
mytang0/brook,327.5
Rapter1990/parkinglot,180.0
stephanj/BM25,105.0
erupts/Linq.J,362.5
johnnyb/ntag424-java,185.0
sisby-folk/surveyor,5487.5
ImKennyYip/flappy-bird-java,30.0
AndroidIDE-CN/AIDE-Plus,717.5
Pulikovskyy/fixitnow,30.0
liubingmx/fast-spring-test,330.0
jimmyjames/fga-spring-examples,205.0
GaoSSR/OnePRO,30.0
anonymous123-code/quilt-bisect,440.0
drcircuit/wchhack,50.0
1321928757/chatgpt-sdk-java,80.0
MagicHarp/confluence,162.5
dumbo-the-developer/Duels,912.5
