repo,score
andimarek/spb,287.5
jabrena/spring-boot-user-beans,910.0
0xf4n9x/CVE-2023-0669,130.0
OutOfOpioids/meowhack,375.0
santoshlite/comp250Tester,337.5
fcavallarin/burp-dom-scanner,142.5
72days/react-native-appearance-control,80.0
Tutorials-By-Kaupenjoe/Forge-Tutorial-1.19.3,555.0
likvidera/GhidraChatGPT,207.5
eipip1e0/DemonHunterFix,205.0
ali-bouali/oauth2-social-login,50.0
emilyy-dev/wets,85.0
HelloOO7/BounceTales,37.5
PacktPublishing/-Designing-Hexagonal-Architecture-with-Java---Second-Edition,530.0
BroncBotz3481/YAGSL-Example,1960.0
enola-dev/enola,6200.0
team-dodn/spring-boot-java-template,180.0
afet-yonetim-sistemi/ays-be,2195.0
xdev-software/vaadin-editable-label,1117.5
sxmurxy0/2D-Render-Util-1.16,30.0
Athlaeos/ValhallaMMO,360.0
ViaVersion/ViaLoader,755.0
RaphiMC/ViaBedrock,147.5
itext/pdfcop,45.0
mahsa6828/priorityApp,30.0
Catuquei/hockeyware,50.0
listenzz/react-native-keyboard-insets,37.5
dadjepon/ObjectOrientedProgramming2023,112.5
sivaprasadreddy/techbuzz,495.0
KEEPER31337/Homepage-Back-R2,2100.0
moheng233/MFUI,30.0
JanCantCode/crystal-zero-delay,212.5
PP-Namias/Java-Rice,187.5
mingcaixiao/ColumnGenerationForCutStockProblem,30.0
ClusterlessHQ/clusterless,2340.0
harrel56/json-schema,2070.0
faluhub/peepoPractice,965.0
IGinX-THU/IGinX,4292.5
dynarithmic/twain_library-java,807.5
mt1006/mc-nbtac-mod,2167.5
tonikelope/megadoctor,6392.5
AdaptiveConsulting/aeron-io-samples,995.0
ViaVersion/ViaAprilFools,630.0
streamnative/oxia-java,3277.5
PacktPublishing/Learn-Java-with-Projects,45.0
GeorgeApos/pyassess,337.5
kindawindytoday/WindSeed,52.5
vasujhawar2001/DSA_Cohort,157.5
modongning/sentinel-dashboard-nacos,30.0
stawirej/timeflow,30.0
gvart/every-note-persister,67.5
ArslanYM/DataStructrues-Algo,207.5
oldSorcerer/IntroductionJDBCAndHibernate,630.0
CoreyD97/Burp-Montoya-Utilities,180.0
kakao/kafka-sink-connector,107.5
yasintorun/vision-camera-base64,92.5
jie65535/gc-openchat-plugin,187.5
rndtrash/nokia-bounce-decomp,72.5
NICEElevateAI/ElevateAIJavaSDK,52.5
visalsrimanga/Shopping-Cart-Web-App,30.0
hammcmod/RadioCraft,302.5
plantuml/plantuml-core,252.5
mysticdrew/common-networking,515.0
ViaVersion/ViaLegacy,740.0
avaje/avaje-prisms,2000.0
Stirling-Tools/Stirling-PDF,16082.5
Aarifmedharsha/6Companies30dayschallenge,30.0
Bhavya2004/DCC_Leetcode_2023,30.0
devvsakib/java-100days,30.0
titusfortner/selenium-logger,85.0
Combimagnetron/ImageLib,37.5
wbluke/practical-testing,660.0
stianloader/Micromixin,100.0
ali-bouali/todo-app-api,42.5
databricks/databricks-sdk-java,5252.5
tangllty/tang-boot,1087.5
scx567888/live-room-watcher,3190.0
CleanroomMC/Cleanroom,1232.5
StuyPulse/Jeffery,262.5
Draylar/scarlet,30.0
tinyg210/shipment-list-demo,180.0
4drian3d/UnSignedVelocity,540.0
ebarlas/minesweeper-csp,45.0
oussamaserhane/OOP_Esi-sba_examples,30.0
MyJ2c/Open-MyJ2c,42.5
PacktPublishing/Redis-Stack-for-Application-Modernization,97.5
laziobird/java-agent-demo,30.0
benweidig/a-functional-approach-to-java,90.0
md-shahin-miah/leethub,30.0
ThomasVitale/spring-boot-next-gen-apps,547.5
datasharingframework/dsf,3217.5
HanSolo/jarkanoid,687.5
CrissNamon/aide,342.5
StuyPulse/Jim,2742.5
Top4IkRu/java-interview,30.0
jdemetra/jdplus-main,2095.0
56738/EasyArmorStands,627.5
DanielLiu1123/httpexchange-spring-boot-starter,3110.0
liquibase/liquibase-databricks,1682.5
Team-Smeme/Smeme-server-renewal,2632.5
LeraRiemann/ProjectInfinity,490.0
foldright/cffu,2957.5
theatricalmod/Theatrical,247.5
4rg0n/songs-of-syx-mod-example,90.0
bravenewpipe/BraveNewPipeLegacy,617.5
PramodDutta/AdvanceSeleniumFrameworkTTA,30.0
kikugie/techutils,160.0
Apress/practical-open-telemetry,95.0
iGio90/IntelliJ-OpenAI,360.0
mia-z/capacitor-websocket,105.0
jpmorganchase/fusion-java-sdk,730.0
dQw4w9WgXcQ/osrs-pathfinder,30.0
RacoonDog/Tokyo-Client,275.0
ViaVersion/ViaFabricPlus,6347.5
ViaVersion/ViaProxy,2007.5
hululu1068/AdGuard-Rule,107.5
eBay/ejmask,370.0
MeftunH/find-out-my-loan,660.0
Minecraft-Java-Edition-Speedrunning/mcsr-serversiderng-1.16.1,477.5
palakbhawsar98/DevOps-CI-CD,57.5
R0shish/Course-Management-System,45.0
Trayzik/TrayzProxy,80.0
beehive-lab/tornado-insight,512.5
betterclient/lunarclient-sodium-hacks,345.0
intelligentnode/IntelliJava,480.0
omeldar/hslu,442.5
Bawnorton/BetterTrims,3295.0
TauMC/Blacksmith,30.0
jpenilla/chesscraft,715.0
ctorney/Daily-Diary,250.0
r-follador/GeneWarrior,37.5
LegacyModdingMC/UniMixins,1342.5
jbwm/Modularize,507.5
camunda-community-hub/zeebe-redis-exporter,780.0
razvan404/ubb-projects,30.0
Rollczi/LiteCommands-IntelliJPlugin,167.5
BroncBotz3481/YAGSL,165.0
airbytehq/airbyte-platform,15945.0
MinaMichita/AntiAntiDefraud,132.5
Szymon20000/react-native-prefetch,30.0
SuperMarioYL/trouve,80.0
effective-tech-interview/effective-tech-interview-be,547.5
Sandeep-source/LeetCode-Study-Plan,80.0
Tuna-Onguner/Bilkent,30.0
lyze237/gdx-UnBox2D,117.5
Azure/AKS-DevSecOps-Workshop,1480.0
tenaf0/drm-shell,30.0
woodjecket/CommunDustry,200.0
EasyG0ing1/MacIcns,515.0
AlwaysLoveme/capacitor-plugin-jpush,195.0
0x3C50/ultralight-fabric-example,30.0
catppuccin/java,345.0
BSI-Bund/TaSK,435.0
xHookman/IGexperiments,905.0
aedemirsen/training,142.5
michelin/kstreamplify,1032.5
eclipse-tractusx/digital-product-pass,8837.5
sameershukla/JavaFPLearning,30.0
SpringBootCourses/tasklist,247.5
ssblur/scriptor,5047.5
testcontainers/tc-guide-testing-spring-boot-rest-api,255.0
artemisac/artemis-minecraft-anticheat,182.5
lyudaio/jcards,605.0
carlrobertoh/CodeGPT,5512.5
Joserra13/smartHome,30.0
dekuan/ChinaRegionJava,42.5
Guseynov1/RelayProtection,60.0
bezkoder/spring-boot-r2dbc-h2-example,30.0
anicetkeric/spring-security-paseto,42.5
absolutelyaya/ultracraft,1777.5
numerica-ideas/community,1112.5
thegeekyasian/geo-assist,435.0
Project-alphaa/Improved-Animations,840.0
clyoudu/pf4j-spring,37.5
thisisnzed/Anywhere,42.5
Reider745/ZoteCoreLoader,552.5
igor-suhorukov/openstreetmap_h3,112.5
chaoticgd/ghidra-emotionengine-reloaded,1690.0
komamitsu/spring-data-sqlite,362.5
Minecraft-Transit-Railway/Transport-Simulation-Core,110.0
Splicer97/react-native-osmdroid,1137.5
Grt1228/chatgpt-java,2492.5
KiltMC/Kilt,655.0
marcushellberg/hilla-react-chat,60.0
Phoupraw/CreateSDelightFabricJava,187.5
cloudflightio/springboot-testresources,770.0
cheese1ne/cheese-repository,120.0
g3webcore/G3WebCore,67.5
temporalio/sagas-temporal-trip-booking,255.0
MultimodalImagingCenter/MiC,137.5
fyiernzy/UM-WIA1002,52.5
gcatanese/openapi-request-response-validation,200.0
Contrast-Security-OSS/Burptrast,400.0
eclipse-cdt/cdt-lsp,2175.0
Alwinator/react-native-http-bridge-refurbished,1335.0
DartCat25/sodium-shader-support,257.5
codingspecialist/junit-bank-class,72.5
Low-Drag-MC/LDLib-MultiLoader,550.0
OreoCupcakes/kotori-plugins,52.5
hellohublot/react-native-kline-view,55.0
BidnessForB/JPostman,1100.0
manuthebyte/template-forge-mixin-1.8.9,30.0
debezium/debezium-server,1387.5
GoogleCloudPlatform/mqtt-cloud-pubsub-connector,532.5
resend/resend-java-legacy,1305.0
TharunBalaji2004/Alpha3.0-DSA,37.5
10xfuturetechnologies/kafka-connect-iceberg,402.5
mshehab/mobile-apps-spring-2023,60.0
irohitb/react-native-multithreads,142.5
dhirajsable/spring-examples,220.0
Froomeeth/SeriliaOld,105.0
FredericoMetelo/peersim-environment,237.5
Dubhe-Studio/BugJump,277.5
897665787/file-storage,30.0
dilipsundarraj1/kafka-streams-api-for-developers,97.5
AcaiSoftware/aurora,90.0
reconSuave/RustyDagger,85.0
Glavo/SimplePNG,30.0
TimStewartJ/TheMightyArchitectury,450.0
cloudclientdev/cloudclient,790.0
ShirasawaSama/JavaSharedMemory,600.0
Aeyama-Mod/aeyama,1272.5
rabobank/shadow-tool,1045.0
SnowVolf/ModDialog,130.0
DJ-Raven/glasspane-popup,155.0
RedstoneTools/redstonetools-mod,2727.5
koushikkothagal/java-backend-bootcamp,915.0
Osmerion/OneTrickPony,130.0
yeonhooy/Meteor_Control_Channel_Isolation_SDN_Virtualization,137.5
eo-cqrs/eo-kafka,3265.0
openjdk/jdk20u,780.0
WMSGaming/Abstract-1.12.2,80.0
mharisraza/HyperSpaceGamePanel,37.5
edgedb/edgedb-java,920.0
lottie4j/lottie4j,37.5
Azure/reddog-solutions,635.0
yujuncai/Tia-notify,30.0
2No2Name/worldthreader,270.0
md-shahin-miah/E-Class-Room,30.0
Joseph24x7/ResumeAtsChecker,37.5
FlyJingFish/SwitchKeyboard,910.0
RaphiMC/MinecraftAuth,652.5
anuj-das-10/Internet-Technologies,30.0
petrbouda/jvm-jit-compilation,30.0
frc-862/gridlock,1372.5
Gapur/react-native-vision-camera-examples,30.0
metaloom/qdrant-java-client,342.5
mahsa6828/TopCorn,30.0
FYH620/ThreadPool,112.5
Greeenman999/LibrarianTradeFinder,425.0
isKONSTANTIN/CryptoUtils,130.0
yumerchalashkan/spring-microservices-currency-system,30.0
rohan472000/Java-DSA-InterviewPrep,1192.5
bezkoder/spring-boot-3-rest-api-example,30.0
yxw21/xssbughunter,80.0
Andrew6rant/Auto-Slabs,952.5
sanyou3/rocketmq,30.0
ZsoltMolnarrr/Wizards,2112.5
databendlabs/databend-jdbc,3040.0
bezkoder/spring-boot-r2dbc-mysql-example,30.0
naver/scavenger,1445.0
martinpaljak/nfc4pc,332.5
ShaneBeee/SkBriggy,755.0
wkgcass/vfx,60.0
LocusAzzurro/Ultramarine,382.5
akto-api-security/akto,61915.0
FRC2539/javabot-2023,465.0
dpsoft/ap-agent,817.5
geektcp/mosheh,855.0
aecsocket/jolt-java,30.0
ingageco/capacitor-music-controls-plugin,202.5
Nooniboi/Public-Ikea,517.5
kanezi/spring-social-2-cloud,147.5
candlefinance/page-control,192.5
Guseynov1/Multi-Agent-System,30.0
craftgate/craftgate-modulith-messaging,80.0
Yasas4D/springboot-v3-keycloak,30.0
YuyanCai/heima-leadnews,735.0
stom79/Fedilab,780.0
h4de5ing/takagen99-TVBoxOSC,142.5
danvega/content-calendar,37.5
xxDark/Venuzdonoa,45.0
DaveH355/ultralight-forge-1.8.9,37.5
EtienneAb3d/WhisperTimeSync,105.0
InZan17/Unloaded-Activity,1265.0
WindingMotor/SwerveDrive2023,155.0
Low-Drag-MC/Multiblocked2,225.0
thoqbk/openai-pdf,67.5
questdb/rust-maven-plugin,442.5
Prunoideae/PowerfulJS,110.0
mfoo/libyear-maven-plugin,622.5
RevealedSoulEven/XposedPhotosFIX,212.5
stryker-project/monitorer,80.0
aws/neptune-export,2435.0
LSDog/CustomSprays,747.5
promineotech/New-BackEnd-Labs,52.5
hajhouj/fastsico,260.0
bezkoder/spring-data-r2dbc-postgresql-example,30.0
geekahmed/spring-start-here,42.5
EternalCodeTeam/GitCheck,290.0
FIWARE/keycloak-vc-issuer,2875.0
YumeGod/AckerunObfOpenSource,30.0
CodinGlitch/SimpleRadio,622.5
Kahzerx/kcp-mod,335.0
MarkusBordihn/BOs-Easy-NPC,1537.5
Team254/FRC-2022-Public,30.0
jiangnanboy/AutoText,30.0
ya-b/registry-client,82.5
DependencyTrack/hyades-apiserver,5805.0
anarsultanov/keycloak-multi-tenancy,845.0
horoc/treetops,80.0
mydarjuan/flume-doris-sink,30.0
Patribots4738/ChargedUp2023,737.5
help-lixin/db-double-write,30.0
AnOpenSauceDev/Methane-mod,1487.5
caoimhebyrne/BetterInject,237.5
luelueking/Java-CVE-Lists,30.0
pacifiquem/Libra,157.5
foogaro/redis-gears-for-caching-patterns,30.0
marlow75/retropic,42.5
jalpp/Liquid,30.0
stefexec/gurkens-gadgetry-public,565.0
kous500/CurveBuilding,702.5
mirai-MIC/CatBot,110.0
YumeGod/OpenMyJ2C,52.5
Nettakrim/Spyglass-Astronomy,637.5
AlexGirardDev/HarpoonIJ,300.0
hkupty/penna,1320.0
hmRemi/Practice,60.0
Peergos/nabu,3287.5
openrewrite/rewrite-java-dependencies,3675.0
google/cel-java,4515.0
mcollovati/quarkus-hilla,5315.0
quarkiverse/quarkus-poi,1542.5
xpipe-io/xpipe,8395.0
CeerDecy/checkutils-spring-boot-starter,130.0
SSAFY-9th-6-Study/CS-Study,547.5
DewmithMihisara/connect-4-game,30.0
andrejs-ps/Selenium-Fundamentals-completed,30.0
kyungseo/project-web-starter,30.0
mhewedy/outbox,60.0
authlete/sd-jwt,72.5
Rapter1990/cqrs-example,50.0
eclipse-emf/org.eclipse.emf,530.0
hoangsonww/Space-Invader-Game,30.0
MohistMC/AcademyCraft,357.5
wiremock/wiremock-spring-boot,2140.0
asyncer-io/r2dbc-mysql,2887.5
PacktPublishing/Microservices-with-Spring-Boot-and-Spring-Cloud-Third-Edition,197.5
ali-bouali/bootcamp-spring-boot,172.5
HamburgChimps/apple-notes-liberator,1292.5
tballison/commoncrawl-fetcher-lite,355.0
igentuman/NuclearCraft-Neoteric,502.5
linpeilie/mapstruct-plus,1550.0
spring-recipes/devnexus-2023-recipes,30.0
Shubh2-0/Tender-Management-System,217.5
cyrilou242/jnotebook,282.5
gulihua10010/chatGptApiSdk,117.5
openbrms/openbrms,480.0
Guseynov1/web-applications,30.0
ao-space/platform-base,525.0
Kavithma-Thushal/Computershop-Management-System-1st-Sem-Final,30.0
behappy-project/behappy-canal,330.0
gitfullstacker/api-microservice,30.0
Fox2Code/FoxLoader,3832.5
maveniverse/mima,2920.0
cao-awa/Kalmia,67.5
pufanyi/FYPMS,125.0
jerolba/parquet-carpet,452.5
4drian3d/VPacketEvents,347.5
pgvector/pgvector-java,87.5
Selbi182/SetlistFmToSpotifyPlaylist,42.5
candlefinance/app-icon,480.0
davinci1012/pinduoduo_backdoor_unpacker,240.0
Consensys/linea-tracer,14080.0
ammbra/performance-glance,37.5
grafana/grafana-opentelemetry-starter,700.0
harmonyzhang/whatsapp-business-java-sdk,612.5
hvmerode/junit-pipeline,1395.0
mfaisalkhatri/api-testing-playwright-java-testng,180.0
forestwanglin/openai-java,92.5
tangorishi/learnJava,1042.5
sank29/Appointment-Booking-Application,622.5
SoftwareObservatorium/lasso,112.5
JimmyAndZzZ/hulk,170.0
uakihir0/bsky4j,732.5
Feroov/Revolt-of-the-mobs,67.5
videosdk-live/quickstart,1132.5
khoahd7621/oracle-certified-professional-java-se-17-practice,60.0
twevs/HighPCodeViewer,92.5
GameduJS/EasyVillagerTrade,597.5
Andihu/ExcelUtils,30.0
Zendure/developer-device-data-report,685.0
callstack/super-app-example,182.5
extrawest/Charge-Point-Simulator-via-OCPP-2.0.1,105.0
houxinlin/cool-request,652.5
videogame-archive/romhack-archive,65.0
AllayMC/Allay,1640.0
tomridder/FeedStreamPlayer,30.0
holdennguyen/cicd-pipeline-java-webapp,95.0
HanSolo/tetris,80.0
nus-test/XPress,202.5
LarryDpk/Google-Bard,962.5
akshayp7/playwright-java-cucumber,130.0
iiiiiiiris/Ambien,535.0
micw/tibber-pulse-reader,52.5
Cubed-Development/Modern-Warfare-Cubed,4692.5
squaresLab/LLMAO,60.0
apache/eventmesh-dashboard,1285.0
burningtnt/JStack-Minecraft,337.5
mahmednabil109/msa-notes,30.0
Dhanavidhya/Mobile-Application-Development,30.0
extrawest/BDD-Charge-Point-Tester-via-OCPP-J-,802.5
Kavithma-Thushal/Ginzarestaurant,30.0
Dark-Developments/Kapuncino-Client,1130.0
inworld-ai/inworld-minecraft-java-sdk,132.5
ShimaaBetah/GraphoPlex,55.0
linweiyuan/java-chatgpt-api,37.5
ApsZoldat/mindustry-mapping-utilities,812.5
Wong-Innovations/TC4Research,552.5
hoangsonww/Bouncing-Ball-Game,30.0
clickcrystals-development/ClickCrystals,4890.0
corda/corda5-samples,712.5
YiHeCN/notion-java-sdk,80.0
williambl/blockblockdevice,30.0
SrRapero720/waterframes,580.0
arhohuttunen/spring-boot-hexagonal-architecture,30.0
rocketbase-io/db-scheduler-log,195.0
rajithd/spring-cloud-security-jwt,67.5
mocacong/Mocacong-Backend,1507.5
nbicocchi/learn-java-javafx,247.5
WaxMoon/MultiAppDemo,105.0
danvega/loom,30.0
ali-bouali/spring-boot-for-beginners,30.0
SocketC0nnection/JVA,202.5
coderabbit214/bibliothecarius,522.5
Dueris/OriginsPaper,24292.5
bruce-pang/prpc,540.0
webraybtl/ysoserialbtl,42.5
dmzoneill/strongapp-api,30.0
darbyluv2code/spring-boot-3-spring-6-hibernate-for-beginners,75.0
NimeshPiyumantha/Software-Principles,442.5
RichardHightower/jparse,905.0
bezkoder/mongodb-reactive-spring-boot,30.0
oktadev/auth0-java-microservices-examples,260.0
jetkai/openai-for-java,242.5
nbicocchi/learn-java-core,1275.0
kspalaiologos/Maja,75.0
sivaprasadreddy/java-testing-made-easy,60.0
carlrobertoh/llm-client,370.0
Glavo/classfile,277.5
maciejwalkowiak/spring-boot-startup-report,292.5
Aelysium-Group/rusty-connector,1305.0
spatialx-project/geolake,160.0
LimeChain/Fruzhin,3655.0
bloxbean/yaci-devkit,1855.0
piiano/vault-java,832.5
GregTechCEu/GregTech-Modern,63215.0
FancyMcPlugins/FancyHolograms,2080.0
folksdev/open-weather,30.0
Guseynov1/CIM-model,30.0
Bawnorton/MCChatGPT,100.0
wenqiglantz/chatgpt-whisper-spring-boot,217.5
SplashAni/RandomMeteor,407.5
CinemaMod/CinemaMod,485.0
google/cql-on-beam,60.0
xTracr/RealCamera,2672.5
WHU-AISE/PBScaler,30.0
iTchTheRightSpot/session-authentication,67.5
LA4AM12/Cloudlet-Scheduler,30.0
Evolution-XYZ-Devices/packages_apps_PixelParts,150.0
quarkiverse/quarkus-primefaces,2125.0
openautojs/openautojs,187.5
Konloch/OpenIRCd,130.0
kisselz/merrimackutil,310.0
jacobp925/Cinematics,260.0
cardano-foundation/hydra-java,950.0
yeliheng/EventBus,30.0
codejava-official/spring-boot-crud-intellij,30.0
