repo,releases,pulls,open_issues,branches,workflows,has_release_workflow
polespinasa/bitcoin-grouphug,2,3.0,0,3,1,False
RReverser/wasmbin,0,0.0,1,5,1,False
d0nutptr/talaria,0,2.0,0,5,0,False
friendlymatthew/leptos-theme,0,3.0,1,3,0,False
ThomasVitale/langchain4j-spring-boot,16,5.0,4,1,1,False
utilForever/2024-SNU-Rust-Application,0,0.0,0,1,0,False
guissalustiano/jewel,0,2.0,0,2,0,False
awwsmm/hello-rust-sdl2-wasm,0,1.0,0,1,0,False
Leafwing-Studios/leafwing_manifest,0,18.0,14,2,1,False
kpcyrd/archlinux-userland-fs-cmp,1,2.0,0,1,1,False
ri-char/pwatch,2,1.0,2,1,2,False
arconia-io/arconia,5,0.0,9,1,1,False
domwoe/inscription_canister,0,2.0,0,3,0,False
Rolv-Apneseth/rofi-nerdy,0,6.0,0,1,1,False
LadyJessie19/MyFood,0,0.0,0,1,0,False
borjavb/bq-lineage-tool,0,0.0,1,1,0,False
loco-rs/chat-rooms,0,6.0,0,2,1,False
maxcountryman/tower-sessions-stores,0,23.0,6,6,1,False
vidhanio/hypertext,0,5.0,3,7,2,False
habuma/spring-ai-examples,0,1.0,1,2,0,False
Abraxas-365/langchain-rust,33,133.0,37,5,1,True
regolith-labs/ore-app,12,19.0,3,11,1,False
MetaGLM/zhipuai-sdk-java-v4,0,15.0,5,13,0,False
SarthakChaudhary46/100-Days-Of-CODE,0,0.0,0,1,0,False
TennyZhuang/ref-stable-lru,0,2.0,0,3,1,False
linux-china/sieve-cache,1,0.0,1,1,0,False
worldcoin/orb-core,0,2.0,0,2,3,True
Bram1903/AntiHealthIndicator,16,0.0,1,3,2,False
tracyspacy/yacht,0,3.0,2,2,0,False
schell/crabslab,0,3.0,0,1,1,False
crrow/kisekifs,0,37.0,1,14,2,False
jedisct1/rust-sieve-cache,0,3.0,0,1,2,False
effector/swc-plugin,7,22.0,1,2,0,False
ThomasVitale/llm-apps-java-langchain4j,0,0.0,0,1,1,False
GizaSystems/AutomationExercisePractice,0,67.0,0,1,3,False
xyzbtw/StashMoverPlugin,5,1.0,1,1,0,False
redixhumayun/raft,0,0.0,0,1,0,False
ztroop/dead-ringer,5,1.0,0,1,2,True
AnimatedSwine37/UnrealEssentials,15,9.0,2,1,1,True
rust-lang/calendar,0,66.0,2,17,3,False
basro/stylance-rs,13,3.0,1,2,1,False
orhun/rust-stdout-vs-stderr,0,0.0,0,4,1,False
HerodotusDev/hdp,14,106.0,18,6,4,True
maxdeviant/auk,5,0.0,0,1,0,False
rohaquinlop/complexipy,9,29.0,3,2,1,True
kittynode/kittynode,8,248.0,16,3,8,True
ThomasVitale/llm-apps-java-spring-ai,0,3.0,1,1,1,False
skyzh/mini-lsm-solution-checkpoint,0,22.0,0,1,0,False
babyfish-ct/jimmer-examples,0,1.0,0,1,0,False
ginger51011/pandoras_pot,0,32.0,0,3,2,True
sweelam/api-design-and-management-talk,0,5.0,0,4,0,False
lukewilliamboswell/roc-ray,7,67.0,15,11,2,True
ckaznable/tenki,14,17.0,3,5,0,False
CleanroomMC/Fugue,58,7.0,1,1,2,True
jinganix/guess,0,23.0,1,7,2,False
gauge-sh/tach,89,205.0,2,4,2,True
find-xposed-magisk/LSPatch,1,0.0,1,2,0,False
elkasztano/juliafatou,0,0.0,0,1,0,False
