repo,score
polespinasa/bitcoin-grouphug,212.5
RReverser/wasmbin,162.5
d0nutptr/talaria,165.0
friendlymatthew/leptos-theme,125.0
ThomasVitale/langchain4j-spring-boot,917.5
utilForever/2024-SNU-Rust-Application,30.0
guissalustiano/jewel,75.0
awwsmm/hello-rust-sdl2-wasm,37.5
Leafwing-Studios/leafwing_manifest,370.0
kpcyrd/archlinux-userland-fs-cmp,95.0
ri-char/pwatch,162.5
arconia-io/arconia,392.5
domwoe/inscription_canister,105.0
Rolv-Apneseth/rofi-nerdy,75.0
LadyJessie19/MyFood,30.0
borjavb/bq-lineage-tool,42.5
loco-rs/chat-rooms,105.0
maxcountryman/tower-sessions-stores,427.5
vidhanio/hypertext,285.0
habuma/spring-ai-examples,80.0
Abraxas-365/langchain-rust,3260.0
regolith-labs/ore-app,1110.0
MetaGLM/zhipuai-sdk-java-v4,565.0
SarthakChaudhary46/100-Days-Of-CODE,30.0
TennyZhuang/ref-stable-lru,105.0
linux-china/sieve-cache,92.5
worldcoin/orb-core,75.0
Bram1903/AntiHealthIndicator,902.5
tracyspacy/yacht,107.5
schell/crabslab,52.5
crrow/kisekifs,710.0
jedisct1/rust-sieve-cache,52.5
effector/swc-plugin,587.5
ThomasVitale/llm-apps-java-langchain4j,30.0
GizaSystems/AutomationExercisePractice,532.5
xyzbtw/StashMoverPlugin,300.0
redixhumayun/raft,30.0
ztroop/dead-ringer,287.5
AnimatedSwine37/UnrealEssentials,872.5
rust-lang/calendar,1030.0
basro/stylance-rs,745.0
orhun/rust-stdout-vs-stderr,120.0
HerodotusDev/hdp,1900.0
maxdeviant/auk,280.0
rohaquinlop/complexipy,765.0
kittynode/kittynode,2550.0
ThomasVitale/llm-apps-java-spring-ai,65.0
skyzh/mini-lsm-solution-checkpoint,195.0
babyfish-ct/jimmer-examples,37.5
ginger51011/pandoras_pot,330.0
sweelam/api-design-and-management-talk,157.5
lukewilliamboswell/roc-ray,1370.0
ckaznable/tenki,1015.0
CleanroomMC/Fugue,2995.0
jinganix/guess,395.0
gauge-sh/tach,6132.5
find-xposed-magisk/LSPatch,122.5
elkasztano/juliafatou,30.0
Rigidity/offline-signer,37.5
DedicatedSoftwareDev/OAK-blockchain,30.0
VeteranSoftDev/Polkadot-origintrail-parachain,30.0
spotlightishere/spotdj,30.0
bnkc/unpack,155.0
xyzeva/ender-relay,205.0
malik672/open-stylus,112.5
dnwwdwd/homieMatching,100.0
m0veax/tplink_m7350,222.5
LaurentMazare/mamba.rs,30.0
stackabletech/trino-lb,1217.5
VanOvermeire/rust-macros-book,30.0
wen-community/wen-program-library,2045.0
MythicalCow/vayu,310.0
mumbleskates/bilrost,930.0
BreakingLead/blockworld,110.0
tinted-theming/tinty,1530.0
