repo,score
polespinasa/bitcoin-grouphug,212.5
RReverser/wasmbin,162.5
Rolv-Apneseth/rofi-nerdy,75.0
d0nutptr/talaria,165.0
friendlymatthew/leptos-theme,125.0
ThomasVitale/langchain4j-spring-boot,917.5
utilForever/2024-SNU-Rust-Application,30.0
guissalustiano/jewel,75.0
arconia-io/arconia,392.5
awwsmm/hello-rust-sdl2-wasm,37.5
maxcountryman/tower-sessions-stores,420.0
Leafwing-Studios/leafwing_manifest,355.0
kpcyrd/archlinux-userland-fs-cmp,95.0
LadyJessie19/MyFood,30.0
borjavb/bq-lineage-tool,42.5
MetaGLM/zhipuai-sdk-java-v4,527.5
domwoe/inscription_canister,105.0
loco-rs/chat-rooms,105.0
habuma/spring-ai-examples,80.0
vidhanio/hypertext,285.0
regolith-labs/ore-app,1072.5
Abraxas-365/langchain-rust,3240.0
ri-char/pwatch,162.5
orhun/rust-stdout-vs-stderr,120.0
SarthakChaudhary46/100-Days-Of-CODE,30.0
TennyZhuang/ref-stable-lru,105.0
linux-china/sieve-cache,92.5
ThomasVitale/llm-apps-java-langchain4j,30.0
GizaSystems/AutomationExercisePractice,532.5
xyzbtw/StashMoverPlugin,300.0
redixhumayun/raft,30.0
worldcoin/orb-core,75.0
sweelam/api-design-and-management-talk,157.5
Bram1903/AntiHealthIndicator,902.5
skyzh/mini-lsm-solution-checkpoint,195.0
HerodotusDev/hdp,1985.0
tracyspacy/yacht,107.5
schell/crabslab,52.5
crrow/kisekifs,710.0
jedisct1/rust-sieve-cache,52.5
ginger51011/pandoras_pot,360.0
effector/swc-plugin,587.5
rohaquinlop/complexipy,765.0
basro/stylance-rs,745.0
ztroop/dead-ringer,287.5
ckaznable/tenki,1015.0
lukewilliamboswell/roc-ray,1410.0
CleanroomMC/Fugue,3032.5
AnimatedSwine37/UnrealEssentials,872.5
rust-lang/calendar,1030.0
maxdeviant/auk,280.0
find-xposed-magisk/LSPatch,122.5
ThomasVitale/llm-apps-java-spring-ai,65.0
gauge-sh/tach,5872.5
jinganix/guess,395.0
kittynode/kittynode,2627.5
elkasztano/juliafatou,30.0
Rigidity/offline-signer,37.5
DedicatedSoftwareDev/OAK-blockchain,30.0
VeteranSoftDev/Polkadot-origintrail-parachain,30.0
spotlightishere/spotdj,30.0
bnkc/unpack,155.0
shenjinti/browserlify,30.0
malik672/open-stylus,112.5
dnwwdwd/homieMatching,100.0
mumbleskates/bilrost,930.0
m0veax/tplink_m7350,222.5
LaurentMazare/mamba.rs,30.0
jetty/jetty-examples,605.0
stackabletech/trino-lb,1217.5
VanOvermeire/rust-macros-book,30.0
Lommix/bevy_aseprite_ultra,247.5
JustAlittleWolf/ModDetectionPreventer,242.5
txtx/txtx,2542.5
