repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,tests
EvaGupta02/AESEncryption,0,0.0,0,1,0,0,0.0
aleixmorgadas/thin-ports-and-adapters,0,0.0,0,1,1,0,20.0
Tushar-Kapil/DSA-Notes,0,0.0,0,1,0,0,0.0
nilsreichardt/gad24-tests,0,13.0,0,10,0,0,99.0
ItziSpyder/ImproperUI,6,2.0,1,4,0,0,0.0
Gayanukaa/Spring-Boot-Playground,0,4.0,0,2,0,0,0.0
ENATION-UK/page-builder,1,0.0,0,1,0,0,2.0
ThomasVitale/langchain4j-spring-boot,16,5.0,4,1,1,0,57.0
jon-mil-92/DisplayHotKeys,8,0.0,0,1,0,0,0.0
amaseng/myinvois-open-sdk,0,5.0,0,6,0,0,0.0
sqlparser/java_data_lineage,0,0.0,1,1,0,0,0.0
uaoan/DkPlayer,3,0.0,3,1,0,0,2.0
appujet/jiosaavn-plugin,19,3.0,0,2,2,0,0.0
MEEPofFaith/hallucinogen,8,0.0,0,1,1,0,0.0
arconia-io/arconia,5,0.0,9,1,1,0,0.0
dee-coder01/BusBuddy,0,17.0,0,11,1,0,22.0
ax1sX/RouteCheck-Alpha,1,0.0,1,2,0,0,0.0
LadyJessie19/MyFood,0,0.0,0,1,0,0,0.0
thomasdarimont/keycloak-opa-authz-demo,0,1.0,0,1,0,0,0.0
ErayMert/microservice-log-tracing,0,0.0,0,1,0,0,0.0
retoocs007/JavaSysMonitor,7,0.0,1,1,1,1,0.0
lhccong/sql-slow-mirror,0,1.0,1,2,0,0,0.0
5ec1cff/CopySign,0,0.0,0,1,0,0,0.0
digitalfondue/mjml4j,0,0.0,5,2,2,1,3.0
ZahidFKhan/Streams-API-Practices,0,1.0,0,1,1,0,94.0
beyond-aion/aion-server,0,5.0,5,3,2,0,7.0
SearchScale/lucene-cuvs,0,7.0,0,6,0,0,0.0
borjavb/bq-lineage-tool,0,0.0,1,1,0,0,37.0
MetaGLM/zhipuai-sdk-java-v4,0,15.0,7,13,0,0,46.0
chiteroman/FrameworkPatch,1,2.0,0,1,0,0,0.0
xdev-software/testcontainers-junit4-mock,2,77.0,0,3,7,0,2.0
habuma/spring-ai-examples,0,1.0,1,2,0,0,0.0
C0de-cake/airbnb-clone-backend,0,0.0,0,2,0,0,0.0
CRLauncher/CRLauncher,50,11.0,0,1,0,0,0.0
Hunterdii/GeeksforGeeks-POTD,0,13.0,0,1,0,0,0.0
HChenX/HookTool,25,1.0,0,5,0,0,0.0
Lambdua/openai4j,26,28.0,0,1,1,0,119.0
jd-opensource/joylive-agent,11,79.0,18,13,3,0,24.0
CollaBu/pennyway-was,61,188.0,3,6,6,0,366.0
lavalink-devs/youtube-source,29,26.0,4,3,1,1,0.0
sahilshelangia/system-design,0,0.0,0,1,0,0,0.0
garlic-bred/easy-bedrock-breaker,1,3.0,0,1,1,0,0.0
Ahmad45123/workup,0,79.0,0,10,2,0,1.0
SarthakChaudhary46/100-Days-Of-CODE,0,0.0,0,1,0,0,0.0
ahmedaliibrahim01/TourismAgencyManagementSystem,0,0.0,0,1,0,0,0.0
linux-china/sieve-cache,1,0.0,1,1,0,0,3.0
Keremyardan/Tourism_Agency_Java_Swing,0,0.0,0,1,0,0,0.0
Stark-8/text-encryption-AES,0,0.0,0,1,0,0,2.0
5cmc/grim-trident,4,0.0,2,1,0,0,0.0
Kir-Antipov/cubes-without-borders,28,7.0,3,14,2,1,0.0
Hejow/easy-restdocs-generator,4,1.0,0,2,0,0,3.0
Bram1903/AntiHealthIndicator,16,0.0,1,3,2,0,0.0
harryjackson/llm.java,0,0.0,0,3,0,0,5.0
CRANKV2/STRP-Profile-App,0,0.0,0,1,0,0,2.0
ThomasVitale/llm-apps-java-langchain4j,0,0.0,0,1,1,0,0.0
GizaSystems/AutomationExercisePractice,0,67.0,0,1,3,0,0.0
glaforge/gemini-workshop-for-java-developers,0,1.0,5,1,0,0,1.0
xyzbtw/StashMoverPlugin,5,1.0,1,1,0,0,0.0
ErrorxCode/JxInsta,1,3.0,4,1,0,0,0.0
sweelam/api-design-and-management-talk,0,5.0,0,4,0,0,20.0
halilibrahimsaltas/TourismAgency,0,0.0,0,1,0,0,0.0
YunaBraska/streamline,18,0.0,1,1,5,0,1.0
GeyserExtras/GeyserExtras,7,2.0,7,2,0,0,0.0
phyce/rl-natural-speech,1,1.0,6,8,0,0,0.0
eclipse-4diac/4diac-ide,0,816.0,24,4,3,0,48.0
babyfish-ct/jimmer-examples,0,1.0,0,1,0,0,29.0
Vadym79/AWSLambdaJavaWithSpringBoot,0,0.0,0,1,0,0,0.0
GreenJAB/fixed-minecraft,0,15.0,2,3,0,0,0.0
CleanroomMC/Fugue,61,12.0,2,1,2,1,0.0
ThomasVitale/llm-apps-java-spring-ai,0,3.0,1,1,1,0,0.0
jinganix/guess,0,23.0,1,9,2,0,17.0
find-xposed-magisk/LSPatch,1,0.0,1,2,0,0,0.0
walimorris/opensquare,0,0.0,0,1,0,0,225.0
yiyuan9/abitoflink,0,21.0,0,4,0,0,0.0
findhumane/react-native-threaded-downloader,1,0.0,0,1,1,0,0.0
xyzeva/ender-relay,3,0.0,2,1,1,0,0.0
chamaadesilva/BookWorm-Library_Management_System,0,0.0,0,1,0,0,0.0
Gayanukaa/companyA-backend,1,22.0,0,12,1,0,0.0
ljmc2000/NoiseLooper,9,8.0,0,1,0,0,2.0
prakarshs/Jhethia,0,1.0,0,2,0,0,0.0
yangfeng20/ja-netfilter,0,0.0,1,1,0,0,0.0
Alexdoru/ExampleMod1.8.9,0,0.0,0,1,0,0,0.0
duckietm/Arcturus-Morningstar-Extended,0,2.0,0,2,0,0,0.0
mpi-sws-rse/jmc,0,0.0,0,1,1,0,111.0
jetty/jetty-examples,0,3.0,1,23,1,0,58.0
JustAlittleWolf/ModDetectionPreventer,3,1.0,2,2,0,0,0.0
danvega/spring-into-ai,0,1.0,0,1,0,0,0.0
DevBobcorn/AcryliCraft,11,18.0,1,5,0,0,0.0
NguyenDuck/blocktopograph,1,19.0,6,2,1,0,0.0
Cvrws/Haru,5,5.0,1,1,1,0,0.0
HexArchBook/bluezone_pro,0,0.0,0,1,0,0,0.0
burukeYou/fast-retry,0,0.0,2,1,0,0,30.0
LizeRaes/feedback-analyzer,0,9.0,0,3,0,0,0.0
galliumdata/adumbra,0,0.0,0,2,0,0,0.0
EasyG0ing1/Migration,3,0.0,1,1,0,0,0.0
shnok/l2-unity-gameserver,7,26.0,0,3,1,0,0.0
karatelabs/karate-js,0,0.0,2,1,1,0,112.0
sepgh/testudo,0,0.0,0,3,1,0,82.0
thedarkcolour/ForestryCE,0,16.0,27,5,2,0,0.0
pinterest/tiered-storage,0,6.0,0,10,1,0,2.0
Netflix/maestro,0,17.0,22,1,1,1,1281.0
apache/spark-kubernetes-operator,0,148.0,0,1,4,0,72.0
Katana-Official/Meta,12,0.0,15,1,0,0,0.0
Krishna18062005/Problem-Solving-Day-101-250,0,2.0,0,1,0,0,0.0
stephanj/rag-genie,0,7.0,1,3,0,0,90.0
dnwwdwd/homieMatching,0,2.0,2,2,0,0,9.0
PamodRathnayake/Social-media-platform-with-API-Master-of-Spring-Boot,0,0.0,0,1,0,0,0.0
gz10177lg/Light-Benchmark,0,0.0,0,3,0,0,0.0
Anjaligaddamidi/javalab,0,2.0,0,1,0,0,0.0
MirnaGama/hospital-management-api,0,11.0,0,12,1,0,93.0
xflow3r/EP2-solutions,0,0.0,1,1,0,0,0.0
administrateclouds/animations,0,2.0,0,2,0,0,0.0
jonas-grgt/bob,6,17.0,5,1,2,0,6.0
StyraInc/opa-java,20,69.0,1,51,5,0,27.0
serifpersia/esp32partitiontool,6,8.0,0,1,1,1,0.0
stuetzlec/merrimack_cs_examples,0,0.0,0,1,0,0,0.0
koppor/github-contributors-list,4,28.0,5,1,1,0,0.0
MiranCZ/altoclef,15,2.0,8,3,2,0,0.0
javpower/easy-flv,0,1.0,4,1,0,0,0.0
ZJU-ACES-ISE/ChatTester,0,0.0,0,1,0,0,0.0
vesavvo/design_patterns,0,0.0,0,1,0,0,0.0
gayanukabulegoda/Hibernate-ORM-Lesson,0,5.0,0,6,0,0,0.0
KarinJS/QwQ,0,2.0,0,1,1,0,0.0
DJ-Raven/java-messenger,0,3.0,0,1,0,0,0.0
Finally-A-Decent/Fadah,22,16.0,1,3,0,0,1.0
OGminso/ChatHeadFont,3,2.0,4,1,0,0,0.0
Yanyutin753/refresh-gpt-chat,10,0.0,1,1,1,0,0.0
MehVahdJukaar/polytone,0,7.0,25,9,0,0,0.0
firstfault/Trinity,2,7.0,0,1,0,0,0.0
lgdd/liferay-client-extensions-samples,0,1.0,0,1,1,0,0.0
DHD2280/BCR-Manager,9,2.0,5,1,1,0,0.0
xdev-software/spring-data-eclipse-store,19,165.0,2,5,8,0,283.0
EmbarkXOfficial/Spring-Security-Course,0,1.0,0,1,0,0,0.0
VanceVagell/kv4p-ht,10,23.0,59,2,3,0,40.0
catchpoint/Tracing.examples-kubernetes-java,0,2.0,0,2,0,0,23.0
SUDHARSUN2003/Accident-Detection-And-Notification,0,0.0,0,1,0,0,2.0
vdaburon/har-convertor-jmeter-plugin,9,0.0,1,1,0,0,0.0
oldmanpushcart/qianfan4j,1,0.0,0,1,0,0,10.0
yint-tech/ProxyCompose,0,0.0,0,1,0,0,0.0
undermad/diet-generator-api,0,17.0,0,4,3,0,47.0
970263611/redisx,3,12.0,1,8,0,0,24.0
KhushPatibandha/RiceDB,0,0.0,0,2,0,0,0.0
ismael221/OpenStreamify,0,9.0,0,2,1,0,0.0
1brc/nodejs,0,3.0,0,1,1,0,0.0
StarRocks/SQLTransformer,0,1.0,1,1,0,0,5.0
MaysHroub/data-structures,0,0.0,0,1,0,0,0.0
VictorModi/Lyrics-Getter-Ext,1,10.0,6,1,1,0,0.0
valkey-io/valkey-java,2,2.0,0,5,2,0,4013.0
MoeStick/Polar-client,1,0.0,0,1,0,0,0.0
igor-pcholkin/DataAnonymization,1,0.0,0,1,0,0,48.0
Araykal/Open-Karhu,2,1.0,0,1,0,0,0.0
SleepyFish-YT/Nemui,2,0.0,8,1,0,0,0.0
HeliosMinecraft/HeliosClient,1,0.0,0,1,1,0,0.0
apache/doris-kafka-connector,2,46.0,2,2,4,0,13.0
EasyDarwin/EasyGBD,0,0.0,0,1,0,0,3.0
mc-wiki/minecraft-mod-heywiki,45,36.0,3,7,2,1,0.0
danvega/fcc-spring-boot-3,0,0.0,1,1,0,0,25.0
vishalmysore/sam,0,0.0,1,1,1,0,0.0
jwplayer/jwplayer-react-native,4,49.0,22,6,0,0,0.0
palantir/javapoet,6,122.0,5,7,0,0,371.0
koupleless/runtime,21,222.0,3,4,10,0,187.0
gtrxAC/discord-j2me,12,55.0,2,5,0,0,0.0
openfga/spring-boot-starter,1,33.0,4,9,3,0,4.0
SemyonSinchenko/spark-connect-example,0,0.0,1,1,0,0,1.0
Aishwaryavenkat10/TestNG-Project,0,3.0,0,1,0,0,2.0
sameh-tarek/Fawry-Internship,0,4.0,0,2,0,0,16.0
marcos-dev79/AlgorithmsStudies,0,0.0,0,1,0,0,0.0
MYethishwar/JavaLabCraft,0,2.0,0,1,0,0,0.0
guybedo/sugar,0,1.0,0,2,0,0,1.0
MobinaMhr/Compiler-Course-Projects-S2024,0,0.0,0,1,0,0,0.0
Apress/ChatGPT-for-Java,1,0.0,0,1,0,0,0.0
houbb/minicat,0,0.0,0,8,0,0,0.0
hssy252/sky,0,0.0,0,1,0,0,0.0
anuragts/tangerine,0,6.0,1,1,0,0,0.0
CASELOAD7000/knockback-sync,3,19.0,3,9,0,0,0.0
xielong/ai-hub,0,0.0,1,1,0,0,0.0
oldmanpushcart/dashscope4j,7,8.0,3,3,0,0,45.0
NovaEngineering-Source/StellarCore,13,2.0,7,1,1,0,0.0
LxxxSec/CTF-Java-Gadget,1,0.0,0,1,0,0,0.0
