repo,score
polespinasa/bitcoin-grouphug,212.5
RReverser/wasmbin,162.5
FuelLabs/fuel-subgraph,412.5
Rolv-Apneseth/rofi-nerdy,75.0
d0nutptr/talaria,165.0
zjp-CN/term-rustdoc,322.5
slotThe/rq,102.5
matthias-buttgereit/ta-rss,97.5
yavko/rat-rs,75.0
ErayMert/microservice-log-tracing,30.0
Tushar-Kapil/DSA-Notes,30.0
friendlymatthew/leptos-theme,125.0
corrode/four-horsemen-talk,30.0
ThomasVitale/langchain4j-spring-boot,917.5
kpcyrd/archlinux-userland-fs-cmp,95.0
AvailX/avail-wallet,4680.0
Handfish/confetty_rs,72.5
envicutor/envicutor,122.5
AFLplusplus/libafl_qemu_artifacts,42.5
utilForever/2024-SNU-Rust-Application,30.0
regolith-labs/ore-app,1035.0
appsignal/actions-runner,267.5
MEEPofFaith/hallucinogen,430.0
guissalustiano/jewel,75.0
arconia-io/arconia,392.5
awwsmm/hello-rust-sdl2-wasm,37.5
uaoan/DkPlayer,217.5
manhunto/webhooks-rs,265.0
maxcountryman/tower-sessions-stores,407.5
Leafwing-Studios/leafwing_manifest,355.0
ri-char/pwatch,162.5
vidhanio/hypertext,285.0
habuma/spring-ai-examples,80.0
0vercl0k/snapshot,347.5
mistricky/codesnap.nvim,2672.5
borjavb/bq-lineage-tool,42.5
domwoe/inscription_canister,105.0
Abraxas-365/langchain-rust,3240.0
mondeja/leptos-fluent,4125.0
maxdeviant/auk,280.0
orhun/rust-stdout-vs-stderr,120.0
SarthakChaudhary46/100-Days-Of-CODE,30.0
TennyZhuang/ref-stable-lru,105.0
linux-china/sieve-cache,92.5
tweag/remote-execution-nix,60.0
ThomasVitale/llm-apps-java-langchain4j,30.0
Vadym79/AWSLambdaJavaWithSpringBoot,30.0
GizaSystems/AutomationExercisePractice,532.5
iondodon/i3-switcher-x11,587.5
dimpdash/bevy_erm,72.5
jedisct1/rust-sieve-cache,52.5
xyzbtw/StashMoverPlugin,300.0
redixhumayun/raft,30.0
phyce/rl-natural-speech,367.5
ckaznable/tenki,1015.0
ztroop/dead-ringer,287.5
Kir-Antipov/cubes-without-borders,1847.5
menonsamir/ypir,212.5
worldcoin/orb-core,75.0
sweelam/api-design-and-management-talk,157.5
effector/swc-plugin,585.0
crrow/kisekifs,710.0
Bram1903/AntiHealthIndicator,902.5
skyzh/mini-lsm-solution-checkpoint,195.0
HerodotusDev/hdp,1982.5
cavemanloverboy/nanotoken,72.5
lukewilliamboswell/roc-ray,1360.0
AnimatedSwine37/UnrealEssentials,772.5
basro/stylance-rs,745.0
rohaquinlop/complexipy,765.0
tracyspacy/yacht,107.5
gauge-sh/tach,5500.0
ginger51011/pandoras_pot,300.0
servo/stylo,1245.0
