repo,score
aleixmorgadas/thin-ports-and-adapters,30.0
Tushar-Kapil/DSA-Notes,30.0
ThomasVitale/langchain4j-spring-boot,917.5
uaoan/DkPlayer,217.5
MEEPofFaith/hallucinogen,430.0
dee-coder01/BusBuddy,457.5
thomasdarimont/keycloak-opa-authz-demo,37.5
ErayMert/microservice-log-tracing,30.0
borjavb/bq-lineage-tool,42.5
digitalfondue/mjml4j,155.0
LadyJessie19/MyFood,30.0
sqlparser/java_data_lineage,42.5
habuma/spring-ai-examples,110.0
karthikreddy-7/Infosys-SP-Coding-Questions,30.0
MetaGLM/zhipuai-sdk-java-v4,705.0
arconia-io/arconia,592.5
CollaBu/pennyway-was,4902.5
Ahmad45123/workup,892.5
SarthakChaudhary46/100-Days-Of-CODE,30.0
GizaSystems/AutomationExercisePractice,532.5
xyzbtw/StashMoverPlugin,300.0
sweelam/api-design-and-management-talk,157.5
phyce/rl-natural-speech,372.5
ThomasVitale/llm-apps-java-langchain4j,30.0
CRANKV2/STRP-Profile-App,30.0
GreenJAB/fixed-minecraft,215.0
Vadym79/AWSLambdaJavaWithSpringBoot,30.0
Hejow/easy-restdocs-generator,417.5
Bram1903/AntiHealthIndicator,902.5
CleanroomMC/Fugue,3270.0
GuangYiDing/BeanUtilHelper,287.5
linux-china/sieve-cache,92.5
Kir-Antipov/cubes-without-borders,1922.5
jinganix/guess,515.0
babyfish-ct/jimmer-examples,37.5
ThomasVitale/llm-apps-java-spring-ai,77.5
find-xposed-magisk/LSPatch,122.5
walimorris/opensquare,30.0
yiyuan9/abitoflink,277.5
xyzeva/ender-relay,205.0
prakarshs/Jhethia,67.5
JustAlittleWolf/ModDetectionPreventer,242.5
burukeYou/fast-retry,55.0
shnok/l2-unity-gameserver,635.0
pinterest/tiered-storage,352.5
HexArchBook/bluezone_pro,30.0
dnwwdwd/homieMatching,100.0
NguyenDuck/blocktopograph,327.5
DevBobcorn/AcryliCraft,847.5
Cvrws/Haru,430.0
jetty/jetty-examples,755.0
Katana-Official/Meta,830.0
Anjaligaddamidi/javalab,45.0
MirnaGama/hospital-management-api,442.5
stuetzlec/merrimack_cs_examples,30.0
vesavvo/design_patterns,30.0
DJ-Raven/java-messenger,52.5
DHD2280/BCR-Manager,557.5
Yanyutin753/refresh-gpt-chat,542.5
xdev-software/spring-data-eclipse-store,2532.5
lgdd/liferay-client-extensions-samples,37.5
gayanukabulegoda/Hibernate-ORM-Lesson,217.5
javpower/easy-flv,87.5
KarinJS/QwQ,45.0
MehVahdJukaar/polytone,697.5
serifpersia/esp32partitiontool,390.0
qupath/qupath-extension-instanseg,697.5
SUDHARSUN2003/Accident-Detection-And-Notification,30.0
oldmanpushcart/qianfan4j,80.0
undermad/diet-generator-api,247.5
970263611/redisx,492.5
1brc/nodejs,60.0
igor-pcholkin/DataAnonymization,80.0
marcolenzo/hexagonal-architecture-spring-sample,30.0
HeliosMinecraft/HeliosClient,80.0
ismael221/OpenStreamify,127.5
EasyDarwin/EasyGBD,60.0
VictorModi/Lyrics-Getter-Ext,230.0
da-z/woolly,30.0
KhushPatibandha/RiceDB,60.0
openfga/spring-boot-starter,570.0
danvega/fcc-spring-boot-3,42.5
jdubois/jdubois-langchain4j-demo,172.5
Apress/ChatGPT-for-Java,80.0
sameh-tarek/Fawry-Internship,90.0
MobinaMhr/Compiler-Course-Projects-S2024,30.0
xielong/ai-hub,42.5
Tvenus/blockchain,30.0
SemyonSinchenko/spark-connect-example,42.5
offici5l/MiBypassTool,230.0
CASELOAD7000/knockback-sync,607.5
guybedo/sugar,67.5
HaHaWTH/HAProxy-Detector,80.0
dzaima/grr,30.0
jakzo/Il2CppDecompiler,42.5
wch2019/xiaohai-blog,60.0
BeiShanair/tutorialmod-1.20,1080.0
ollama4j/ollama4j-web-ui,272.5
AkashKobal/java-full-stack-developement,912.5
waboke/calculator_app_java,1067.5
AkshathSai/streamspace,1077.5
gama-platform/gama,2505.0
alegian/thaumcraft7,45.0
sviperll/result4j,260.0
koupleless/koupleless,2967.5
Poempoat/LimboEmulatorPlus,362.5
blumek/aura-tower,30.0
renmeijian/HealthChecker,37.5
easystartup-io/k3s-simplified,837.5
mmd-nemati/Compiler-Course-Projects-F2023,30.0
Kamesuta/BungeePteroPower,625.0
danvega/rest-client-examples,42.5
danvega/spring-common-mistakes,342.5
ndancing/bitcask,30.0
brian7704/OpenTAK_ICU,722.5
d1tto/Rengar,42.5
chensheng/ddd-boot,30.0
oguzkaran/JavaApp2-Jan-2024,30.0
antlr/antlr5,547.5
Jumman04/DataManager,480.0
hollow-cube/mql,210.0
coralblocks/CoralProto,30.0
Lord-of-Algorithms/DSA-in-Java,30.0
H3Art-q/JNU-IS-CST-Courses,30.0
karthikreddy-7/TCS-NQT-CODING-SHEET,185.0
EladLeev/KeyToField-smt,345.0
cubk1/vapev3-opensource,42.5
Direwolf20-MC/JustDireThings,1062.5
armankhondker/leetcode-solutions,30.0
Rozmir-Rohi/mo-creatures-legacy,285.0
aliyun/dataworks-spec,895.0
TFyre/bambu-farm,1142.5
sidduganeshsid/Core-Java,67.5
JaneMandy/CVE-2023-51467-Exploit,80.0
SandhyaMadhunagula/Javalab,67.5
Trendyol/kafkathena-jakarta,80.0
google-checks/checks-jenkins-plugin,180.0
evpl/jkscope,280.0
semih-turan/The-Full-Stack-Web-Development-Bootcamp,30.0
weilueluo/tsm4j,135.0
frc-862/rhapsody,2692.5
vsouzx/Events-Driven-Ecommerce,42.5
mytang0/brook,327.5
Rapter1990/parkinglot,180.0
stephanj/BM25,105.0
erupts/Linq.J,362.5
sisby-folk/surveyor,5500.0
ImKennyYip/flappy-bird-java,30.0
cezarysanecki/parking-domain,1370.0
AndroidIDE-CN/AIDE-Plus,717.5
Pulikovskyy/fixitnow,30.0
liubingmx/fast-spring-test,330.0
jimmyjames/fga-spring-examples,205.0
GaoSSR/OnePRO,30.0
anonymous123-code/quilt-bisect,440.0
drcircuit/wchhack,50.0
mitang0320/leetcodeHot100,30.0
mariofusco/quarkus-drools-llm,172.5
yaaliuzhipeng/fast-mlkit-translate-text,42.5
segment-anything-models-java/SAMJ-IJ,272.5
tomalbrc/blockbench-import-library,502.5
afsalashyana/Spring-Boot-Tutorials,37.5
burukeYou/spring-smart-di,42.5
Divested-Mobile/Carrion,92.5
Kehrlann/spring-boot-testing,120.0
Incendo/cloud-minecraft,1075.0
sentrysoftware/metricshub,3117.5
dumbo-the-developer/Duels,912.5
polymorphicshade/Tubular,1530.0
StandardSolvers/ps-code-snippets,447.5
longerye/im-chat,127.5
sayxiaoyan/XiaoRanLiu3119-TVBoxMobile,60.0
spring-tips/spring-authorization-server,42.5
DragunWF/Student-Admissions,30.0
PaperMC/SectorTool,242.5
CompassSecurity/jwt-scanner,417.5
B-Rajagopalan/CodingAtti-YouTube,97.5
nkuhn-vmw/GenAI-for-TPCF-Samples,82.5
soundvibe/ha-danfoss,335.0
aws/amazon-gamelift-agent,477.5
MincraftEinstein/SubtleEffects,202.5
ColdeZhang/Dominion,3382.5
eclipse-tracecompass/org.eclipse.tracecompass,2800.0
quarkiverse/quarkus-fx,827.5
Rearth/Oritech,2472.5
shmuelzon/home-assistant-floor-plan,1480.0
hardingadonis/saledock,1407.5
aditya-dua/JBDL-65,30.0
yubb-ai/unofficial-gpt4,530.0
TiagoFar78/PrisonEscape,1365.0
AllayMC/EncryptMyPack,112.5
BREAD5940/2024-Onseason,337.5
charmy/react-native-stroke-text,652.5
bowbahdoe/jdbc,795.0
biagioT/jpa-search-helper,1670.0
6tail/tyme4j,952.5
begcode/begcode-admin,42.5
ChloePrime/AAAParticles,1247.5
codeaashu/JAVA-Programming-Challenge,30.0
codeIntrovert/90daysOfDSA,30.0
lokerxx/JavaVul,30.0
std-microblock/TGStickerProvider,227.5
RobertElderSoftware/robert-elder-software-java-modules,330.0
qos-ch/logback-access,157.5
