repo,branch,readme,releases,open_issues,branches,license,workflows
jocrugon/Pokedex,main,"# Pokedex
API desarrollado en java con spring boot, usando arquitectura hexagonal, swagger, manejador de excepciones y 2 bases de datos MySQL y MongoDB
las bases de datos están en el archivo docker-compose, también la creación de la imagen del API indicado en el Dockerfile

- SWAGGER

![imagen](https://github.com/jocrugon/Pokedex/assets/93726141/5ddeaab8-61ac-41cb-b435-452ebdf30091)

- Arquitectura Hexagonal

![imagen](https://github.com/jocrugon/Pokedex/assets/93726141/b692b471-88d9-43e6-9a75-4e8732a4cf4e)

- Docker

![imagen](https://github.com/jocrugon/Pokedex/assets/93726141/49cfcd81-be7a-4594-88db-892525dd5bd2)

",0,0,1,,
aleixmorgadas/thin-ports-and-adapters,main,"# thin-ports-and-adapters

[![GitHub Discussions](https://img.shields.io/github/discussions/aleixmorgadas/thin-ports-and-adapters)](https://github.com/aleixmorgadas/thin-ports-and-adapters/discussions)

### [Share your thin ports and adapters in another language or framework here! 🙌](https://github.com/aleixmorgadas/thin-ports-and-adapters/discussions/categories/thin-p-a-in-other-languages-and-frameworks)

This is an example of a Ports and Adapters (P&A for short) architecture in Java 21 and Spring Boot.

We can define a simple P&A architecture as follows:

```mermaid
graph LR
    RestControllerAdapter --> ApplicationService
    ApplicationService --> Entity
    Entity --> RepositoryPort
    RepositoryPort --> RepositorySQLAdapter
    subgraph Outside 
        RestControllerAdapter
        RepositorySQLAdapter
    end
    subgraph Inside 
        ApplicationService
        Entity
        RepositoryPort
    end
    
    PAdapter(Primary Adapter) -.-> RestControllerAdapter
    PPort(Primary Port) -.-> ApplicationService
    SAdapter(Secondary Adapter) -.-> RepositorySQLAdapter
    SPort(Secondary Port) -.-> RepositoryPort
```

![ports and adapters example](./.github/assets/hexagonal.svg)
[Reference](https://codesoapbox.dev/ports-adapters-aka-hexagonal-architecture-explained/)

A possible Spring Boot implementation of the adapters is:

```java
// RestControllerAdapter (Primary Adapter)
@RestController
class TeamController {
    private final TeamService teamService; // Primary Port
    
    @GetMapping(""/teams"")
    public List<TeamData> getTeams() {
        return teamService.getTeams();
    }
}

// TeamRepositoryPort (Secondary Port)
interface TeamRepository extends ListCrudRepository<Team, Long> {
}

// The SQL Adapter of the TeamRepositoryPort is provided by Spring Data JPA. It is the Secondary Adapter.
```

### Is it only this?

Yes, a ports and adapters architecture is only this.

Patterns like Domain Events, Aggregates, Value Objects, CQRS and Event Sourcing, all those patters go beyond the intention or responsibility of a ports and adapters architecture. Indeed, a P&A architecture works well with CRUD models (or models with not many domain logic) as well as Domain Models.

The beauty of it is that it adapts to each part of your business, and you can choose the right amount of abstraction/complexity for each scenario.

### And testing?

IMHO, this is where a P&A shines. It really helps you create a solid and adaptable test suite. Here a short example of test types.

**End-to-end tests**

- [TeamControllerE2ETest](src/test/java/dev/aleixmorgadas/thinportsandadapters/web/TeamControllerE2ETest.java)

**Integration test**

- HTTP adapter. [TeamControllerIntegrationTest](https://github.com/aleixmorgadas/thin-ports-and-adapters/blob/main/src/test/java/dev/aleixmorgadas/thinportsandadapters/web/TeamControllerIntegrationTest.java)
- Service and SQL Repository. [TeamServiceIntegrationTest](https://github.com/aleixmorgadas/thin-ports-and-adapters/blob/main/src/test/java/dev/aleixmorgadas/thinportsandadapters/domain/TeamServiceIntegrationTest.java)
- SQL Repository. [TeamRepositoryIntegrationTest](https://github.com/aleixmorgadas/thin-ports-and-adapters/blob/main/src/test/java/dev/aleixmorgadas/thinportsandadapters/domain/TeamRepositoryIntegrationTest.java)

**Unit test**

- HTTP adapter. [TeamControllerUnitTest](https://github.com/aleixmorgadas/thin-ports-and-adapters/blob/main/src/test/java/dev/aleixmorgadas/thinportsandadapters/web/TeamControllerUnitTest.java)
- Service. [TeamServiceTest](https://github.com/aleixmorgadas/thin-ports-and-adapters/blob/main/src/test/java/dev/aleixmorgadas/thinportsandadapters/domain/TeamServiceTest.java)
- Domain. [TeamTest](https://github.com/aleixmorgadas/thin-ports-and-adapters/blob/main/src/test/java/dev/aleixmorgadas/thinportsandadapters/domain/TeamTest.java)

## Running the application

```shell
./gradlew bootTestRun
```

ℹ️ It uses [Spring Boot integration][sbit] with Testcontainers to spin up a PostgreSQL container.

### Using the API

```shell
curl -X GET http://localhost:8080/teams
``` 

```shell
curl -X POST -H ""Content-Type: application/json"" -d '{""name"": ""Team 1""}' http://localhost:8080/teams
```

```shell
curl -X PATCH -H ""Content-Type: application/json"" -d '{""name"": ""Team 1""}' http://localhost:8080/teams/{id}/rename
```

## Running the tests

```shell
./gradlew test
```

You will see how the thin ports and adapters architecture allows us to test the application with multiple approaches:

- Unit tests for the domain logic.
- Integration tests for the application service.
- End-to-end tests for the REST API.

[sbit]: https://spring.io/blog/2023/06/23/improved-testcontainers-support-in-spring-boot-3-1
",0,0,1,MIT,gradle.yml
sbahadirm/n11-bootcamp-2,master,,0,0,1,,
Tushar-Kapil/DSA-Notes,main,"# 🌟 Repository Highlights:

- Trees 🌲
- Graphs 📊
- Dynamic Programming 🔄
- Linked List 🔗
- Heap 📊
- Stack & Queues ⏩⏪
- Tries 🌐
- Recursion 🔁
- Strings 🧵
- MultiDimensional Arrays 🔄
- Hashing 🔍
- Exception Handling ❌🔍
- OOPS 🧑‍💻
- Bit Operators 🧮

## Feel Free to Contribute To The Repo 😊
",0,0,1,,
ThomasVitale/langchain4j-spring-boot,main,"# LangChain4j Spring Boot

This project brings [LangChain4j](https://github.com/langchain4j) support in Spring Boot
to build AI and LLM-powered applications. It provides integrations with LLM services
and vector stores, as well as tools, chains, and AI services.

Using the starter projects in this repository, you gain the following advantages over
using the vanilla LangChain4j libraries in Spring Boot:

* Autoconfiguration and unified configuration properties for models and vector stores
* HTTP infrastructure with RestClient, WebClient, and Jackson for all integrations
* Built-in observability with Micrometer, including LLM-specific metrics and traces
* Dev services with Docker Compose and Testcontainers for models and vector stores
* Service bindings for automatic connection configuration when running on Kubernetes.

## 🚀&nbsp; Quick Start

### Pre-Requisites

* Java 17+
* Docker/Podman
* [Spring CLI](https://docs.spring.io/spring-cli/reference/installation.html)

### Getting Started

Using the Spring CLI, you can easily bootstrap a new Spring Boot application with LangChain4j support.

First, add the LangChain4j Spring Boot catalog providing the project templates.

```shell
spring project-catalog add langchain4j https://github.com/ThomasVitale/langchain4j-spring-boot
```

Then, create a new Spring Boot project for building an LLM Applications with LangChain4j and Ollama.

```shell
spring boot new myapp langchain4j-chat-ollama
```

Finally, navigate to the `myapp` folder and run the Spring Boot application. The first time you run it,
it will take a while to download the Ollama container image used as a dev service based on the Testcontainers
Spring Boot integration.

```shell
cd myapp
./mvnw spring-boot:run
```

You can now call the application that will use Ollama and _llama3_ to generate a text response.
This example uses [httpie](https://httpie.io) to send HTTP requests.

```shell
http :8080/ai/chat message==""What is the capital of Italy?""
```

## 🦜 Models

### OpenAI

Gradle:

```groovy
implementation 'io.thomasvitale.langchain4j:langchain4j-openai-spring-boot-starter:0.9.0'
```

Configuration:

```yaml
langchain4j:
  open-ai:
    client:
      api-key: ${OPENAI_API_KEY}
```

Example:

```java
@RestController
class ChatController {
    private final ChatLanguageModel chatLanguageModel;

    ChatController(ChatLanguageModel chatLanguageModel) {
        this.chatLanguageModel = chatLanguageModel;
    }

    @GetMapping(""/ai/chat"")
    String chat(@RequestParam(defaultValue = ""What did Gandalf say to the Balrog?"") String message) {
        return chatLanguageModel.generate(message);
    }
}
```

### Ollama

Gradle:

```groovy
implementation 'io.thomasvitale.langchain4j:langchain4j-ollama-spring-boot-starter:0.9.0'
```

Configuration:

```yaml
langchain4j:
  ollama:
    chat:
      model: llama3
```

Example:

```java
@RestController
class ChatController {
    private final ChatLanguageModel chatLanguageModel;

    ChatController(ChatLanguageModel chatLanguageModel) {
        this.chatLanguageModel = chatLanguageModel;
    }

    @GetMapping(""/ai/chat"")
    String chat(@RequestParam(defaultValue = ""What did Gandalf say to the Balrog?"") String message) {
        return chatLanguageModel.generate(message);
    }
}
```

## 🫙 Vector Stores

### Chroma

Gradle:

```groovy
implementation 'io.thomasvitale.langchain4j:langchain4j-chroma-spring-boot-starter:0.9.0'
```

Example:

```java
class ChromaDataIngestor {
    private final ChromaEmbeddingStore embeddingStore;
    private final EmbeddingModel embeddingModel;

    ChatController(ChromaEmbeddingStore embeddingStore, EmbeddingModel embeddingModel) {
        this.embeddingStore = embeddingStore;
        this.embeddingModel = embeddingModel;
    }

    public void ingest(List<Document> documents) {
        EmbeddingStoreIngestor ingestor = EmbeddingStoreIngestor.builder()
                .embeddingStore(embeddingStore)
                .embeddingModel(embeddingModel)
                .documentSplitter(recursive(300, 0))
                .build();
        ingestor.ingest(documents);
    }
}
```

### Weaviate

Gradle:

```groovy
implementation 'io.thomasvitale.langchain4j:langchain4j-weaviate-spring-boot-starter:0.9.0'
```

Example:

```java
class WeaviateDataIngestor {
    private final WeaviateEmbeddingStore embeddingStore;
    private final EmbeddingModel embeddingModel;

    ChatController(WeaviateEmbeddingStore embeddingStore, EmbeddingModel embeddingModel) {
        this.embeddingStore = embeddingStore;
        this.embeddingModel = embeddingModel;
    }

    public void ingest(List<Document> documents) {
        EmbeddingStoreIngestor ingestor = EmbeddingStoreIngestor.builder()
                .embeddingStore(embeddingStore)
                .embeddingModel(embeddingModel)
                .documentSplitter(recursive(300, 0))
                .build();
        ingestor.ingest(documents);
    }
}
```

## 🌟 Examples

Check these [examples](https://github.com/ThomasVitale/llm-apps-java-langchain4j) to see LangChain4j and Spring Boot in action.

## 🛡️&nbsp; Security

The security process for reporting vulnerabilities is described in [SECURITY.md](SECURITY.md).

## 🖊️&nbsp; License

This project is licensed under the **Apache License 2.0**. See [LICENSE](LICENSE) for more information.
",16,4,1,Apache-2.0,commit-stage.yml
Jaskey/singleflight,main,"# singleflight
singleflight Java 实现，接入方可2行代码即可实现防缓存击穿。

# 作用：
在缓存查询场景，如果缓存不存在，可能需要查询数据库/下游接口去获取数据，如果并发请求很多，这时候这些请求均不命中缓存就会透传至数据库/下游，从而瞬间压力就会上升。这种现象叫缓存穿透，如下图所示：

![avatar](./缓存穿透.png)


其实这些数据都是几乎一瞬间请求的，数据不会发生变更，如果能复用一条请求的数据，则可以把N个并发下降至1。如下图所示：
JSingleflight则可以轻松实现这样的线程模型。如下图所示，并发请求的三个线程，红色颜色的并发请求并没有请求到数据库，而是直接复用了黑色线段的请求结果。从而把原本对数据库的3个请求压力降为1个。

![avatar](./singleflight模型.png)



# 原理
在发现相同的key请求时，JSingleflight只会放行其中一条请求，其余请求均会等待这条请求的结果，即等到该请求结果返回之后，会立刻唤醒等待的线程去读取这个结果从而返回。


# 快速开始

使用SingleFlight非常简单，只需要一行代码——把原本需要保护复用的代码片段做成回调传入`goFlight`方法即可。

以下是一个多线程的例子，线程内都需要为某个id对应的数据库的值。以下示意我们用随机数来示意数据库查询的语句。

有一瞬间有10个线程都是获取`id_1`这个数据，那么最后只会生成一个随机数（证明只查询了一次数据库），其他线程都会复用一样的结果：

        SingleFlight<String> sg = new SingleFlight<>();
        //并发请求10次，只有一个请求真正进回调，其他9个请求均复用第一次的结果，所以N出来的结果都是一样的
        for (int i=0;i<10;i++) {
            new Thread(new Runnable() {
                @Override
                public void run() {
                    try {
                        String result = sg.goFlight(""id_1"", key -> {
                            System.out.println(""querying from database..."");
                            Thread.sleep(100);//假装需要100毫秒处理数据库
                            return ""data_1_"" + new Random().nextInt(100000);
                        });
                        System.out.println(""singleflight result = "" + result);
                    } catch (Exception e) {
                        e.printStackTrace();
                    }
                }
            }).start();
        }

输出：

```
querying from database...
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
singleflight result = data_1_17135
```
可以看到，10条线程都是返回了data_1_17135的数据，但是回调函数只进入了一次（“querying from database” 只输出了一次），从而证明有9条线程实际上是复用了请求结果。

# 特性
SingleFlight除了基本特性外，对比`Go`版本的`singleflight`，还增加了对异常、超时的处理

## 超时策略

如果下游的一次请求耗时太长，其他所有线程都会阻塞。为了解决这个问题，SingleFlight引入了超时策略的概念。

超时策略里，可以设置超时时间（默认超时时间无限长）。如果一个操作超过了这个超时时间，就会触发超时策略。具体超时策略有两种：
  1. 超时抛出异常策略。默认策略。本次请求超时会抛出异常，其他等待的请求也会跟随的获取到这个超时异常。使用方法只需要增加一行代码即可：


     SingleFlight<String> sg = new SingleFlight<>();
     // 500毫秒超时，超时则抛出异常 
     sg.setTimeoutStrategy(TimeoutStrategy.throwException(500));

   2. 超时放过策略。有些时候为了避免一次请求的超时而扩散影响到并发的其他请求，可以尝试超时后放N等待的请求进去再尝试一下。这时候可以使用超时放过策略。其中N可以参数控制。使用方法也很简单，只需要在原基础上增加一行代码即可：
      
 ```
      SingleFlight<String> sg = new SingleFlight<>();
      // 500毫秒超时，超时的时候最多可以放进去5个请求继续尝试处理
      sg.setTimeoutStrategy(TimeoutStrategy.permitSome(500, 5));
```

## 异常策略
类似于超时策略的处理，`goFlight`的回调方法可能会抛出异常（例如连接数据库失败等），在异常时默认会透传出这个异常，同时把等待中的请求也会得到相同的异常。如果希望异常的时候放进去N个请求再做尝试，可以在构造方法中设置参数：

    //goFlignt抛出异常的时候，最多尝试放5个新请求进去继续执行
    SingleFlight<String> sg = new SingleFlight<>(5);
",0,0,1,,
uaoan/DkPlayer,main,"# DkPlayer
 DK播放器 1、UI增加(上一集 下一集 倍速 选集 设置 投屏 小窗)。 2、功能添加(倍速弹窗 画面比例弹窗 定时关闭 长按倍速 长按倍速修改 设置静音 跳过片头 跳过片尾 DLNA投屏 )

### [APK下载预览](https://github.com/uaoan/DkPlayer/raw/main/app/release/DK%E6%92%AD%E6%94%BE%E5%99%A8.apk)


### 集成
 **1.在 project 的 settings.gradle 文件中找到 allprojects{} 代码块添加以下代码：** 

```
allprojects {
    repositories {
        mavenCentral()
        maven { url 'https://jitpack.io' }      //增加 jitPack Maven 仓库
    }
}
```
 **在 app 的 build.gradle 文件中找到 dependencies{} 代码块，并在其中加入以下语句：** 

```
implementation 'com.github.uaoan:DkPlayer:dkplayer-1.1'
implementation 'xyz.doikki.android.dkplayer:dkplayer-java:3.3.7'
implementation 'com.tencent:mmkv-static:1.3.0'
```

 **配合DLNA投屏使用**
[DLNA投屏库](https://github.com/uaoan/UaoanDLNA) 


 **添加权限**

```
<uses-permission android:name=""android.permission.INTERNET""/>
<uses-permission android:name=""android.permission.ACCESS_NETWORK_STATE""/>
```

###  **简单使用** 

 **添加布局** 

```
 <xyz.doikki.videocontroller.UaoanVideoPlayer
        android:id=""@+id/player""
        android:layout_width=""match_parent""
        android:layout_height=""200dp"" />
```

 **设置视频地址、控制器等** 

```
videoView.setUrl(URL); //设置视频地址
StandardVideoController controller = new StandardVideoController(this);
controller.addDefaultControlComponent(""斗破苍穹"", false);
videoView.setVideoController(controller); //设置控制器
videoView.start(); //开始播放，不调用则不自动播放
```

 **在Activity中** 


```
@Override
    protected void onPause() {
        super.onPause();
        //暂停播放
        videoView.pause();
    }

    @Override
    protected void onResume() {
        super.onResume();
        //继续播放
        videoView.resume();
    }

    @Override
    protected void onDestroy() {
        super.onDestroy();
        //释放播放器
        videoView.release();
    }


    @Override
    public void onBackPressed() {
        if (!videoView.onBackPressed()) {
            super.onBackPressed();
        }
    }
```

 **在AndroidManifest.xml中** 


```
<activity
    android:name="".PlayerActivity""
    android:configChanges=""orientation|screenSize|keyboardHidden""
    android:screenOrientation=""portrait"" /> 
```

 **上一集按钮点击事件**


```
videoView.setOnUpSetClickListener(new UaoanVideoPlayer.OnUpSetClickListener() {
            @Override
            public void onClick(View view) {
                Toast.makeText(MainActivity.this, ""上一集"", Toast.LENGTH_SHORT).show();
            }
        });
```

 **下一集按钮点击事件**


```
videoView.setOnDownSetClickListener(new UaoanVideoPlayer.OnDownSetClickListener() {
            @Override
            public void onClick(View view) {
                Toast.makeText(MainActivity.this, ""下一集"", Toast.LENGTH_SHORT).show();
            }
        });
```

 **选集按钮点击事件**


```
videoView.setOnSelectClickListener(new UaoanVideoPlayer.OnSelectClickListener() {
            @Override
            public void onClick(View view) {
                Toast.makeText(MainActivity.this, ""选集"", Toast.LENGTH_SHORT).show();
            }
        });
```


 **小窗按钮点击事件**



```
videoView.setOnWindowClickListener(new UaoanVideoPlayer.OnWindowClickListener() {
            @Override
            public void onClick(View view) {
                Toast.makeText(MainActivity.this, ""小窗"", Toast.LENGTH_SHORT).show();
            }
        });
```


 **投屏按钮点击事件**


```
videoView.setOnScreenClickListener(new UaoanVideoPlayer.OnScreenClickListener() {
            @Override
            public void onClick(View view) {
                //投屏
              
            }
        });
```

 
 **隐藏底部UI按钮**


```
videoView.setVisibilityBottom();
```
| setVisibilityBottom(a，b，c，d) | 隐藏底部UI按钮 |
|------------------------------|----------|
| a                            | 选集按钮     |
| b                            | 倍速按钮     |
| c                            | 上一集按钮    |
| d                            | 下一集按钮    |


 **隐藏顶部UI按钮** 

```
videoView.setVisibilityTop();
```
| setVisibilityTop(a，b，c) | 隐藏顶部UI按钮 |
|-------------------------|----------|
| a                       | 小窗按钮     |
| b                       | 投屏按钮     |
| c                       | 设置按钮     |


### 投屏
 **投屏使用代码** 


```
new Screen().setStaerActivity(MainActivity.this)
            .setName(""斗破苍穹"") 
            .setUrl(""https://s.xlzys.com/play/9avDmPgd/index.m3u8"")
            .setImageUrl(""http://i0.hdslb.com/bfs/article/96fa4320db5115711c8c30afaff936910595d336.png"")
            .show();
```
 
 **————————————————————————————————————————————————————————————————————————** 


 ### [更多方法请点击前往 >](https://github.com/Doikki/DKVideoPlayer/wiki/API)


 ### 感谢
   **[DKVideoPlayer](https://github.com/Doikki/DKVideoPlayer)** 


 **————————————————————————————————————————————————————————————————————————** 


![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165736.jpg)
![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165743.jpg)
![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165752.jpg)
![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165756.jpg)
![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165801.jpg)
![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165806.jpg)
![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165811.jpg)
![输入图片说明](%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20240203165816.jpg)
",3,3,1,,
MEEPofFaith/hallucinogen,master,"# Hallucinogen
A Java Mindustry mod that destroys your vision.

## Building for Desktop Testing

1. Install JDK **17**.
2. Run `gradlew jar` [1].
3. Your mod jar will be in the `build/libs` directory. **Only use this version for testing on desktop. It will not work with Android.**
To build an Android-compatible version, you need the Android SDK. You can either let Github Actions handle this, or set it up yourself. See steps below.

## Building through Github Actions

This repository is set up with Github Actions CI to automatically build the mod for you every commit. This requires a Github repository, for obvious reasons.
To get a jar file that works for every platform, do the following:
1. Make a Github repository with your mod name, and upload the contents of this repo to it. Perform any modifications necessary, then commit and push. 
2. Check the ""Actions"" tab on your repository page. Select the most recent commit in the list. If it completed successfully, there should be a download link under the ""Artifacts"" section. 
3. Click the download link (should be the name of your repo). This will download a **zipped jar** - **not** the jar file itself [2]! Unzip this file and import the jar contained within in Mindustry. This version should work both on Android and Desktop.

## Building Locally

Building locally takes more time to set up, but shouldn't be a problem if you've done Android development before.
1. Download the Android SDK, unzip it and set the `ANDROID_HOME` environment variable to its location.
2. Make sure you have API level 30 installed, as well as any recent version of build tools (e.g. 30.0.1)
3. Add a build-tools folder to your PATH. For example, if you have `30.0.1` installed, that would be `$ANDROID_HOME/build-tools/30.0.1`.
4. Run `gradlew deploy`. If you did everything correctlly, this will create a jar file in the `build/libs` directory that can be run on both Android and desktop. 

## Adding Dependencies

Please note that all dependencies on Mindustry, Arc or its submodules **must be declared as compileOnly in Gradle**. Never use `implementation` for core Mindustry or Arc dependencies. 

- `implementation` **places the entire dependency in the jar**, which is, in most mod dependencies, very undesirable. You do not want the entirety of the Mindustry API included with your mod.
- `compileOnly` means that the dependency is only around at compile time, and not included in the jar.

Only use `implementation` if you want to package another Java library *with your mod*, and that library is not present in Mindustry already.

--- 

*[1]* *On Linux/Mac it's `./gradlew`, but if you're using Linux I assume you know how to run executables properly anyway.*  
*[2]: Yes, I know this is stupid. It's a Github UI limitation - while the jar itself is uploaded unzipped, there is currently no way to download it as a single file.*
",8,0,1,,commitTest.yml
dee-coder01/BusBuddy,main,"# BusBuddy

BusBuddy is a Spring Boot application designed to manage and facilitate bus transit services.

# Features

1. User authentication and authorization
2. Bus route management
3. Scheduling and real-time tracking
4. Booking and ticketing system
5. Admin dashboard for managing routes and schedules

# API Endpoints

### AdminController

| Endpoint        | Method |    Description    | Access |
| :-------------- | :----: | :---------------: | :----: |
| `/admin/signup` |  POST  | Register as admin | Public |
| `/user/signup`  |  POST  |   User sign up    | Public |

### AdminController

| Endpoint        | Method |    Description    | Access |
| :-------------- | :----: | :---------------: | :----: |
| `/admin/login`  |  POST  | Register as admin | Admin  |
| `/admin/logout` |  POST  | Register as admin | Admin  |

### AdminBusController

| Endpoint        | Method | Description  | Access |
| :-------------- | :----: | :----------: | :----: |
| `/admin/bus`    |  POST  | Add new bus  | Admin  |
| `/admin/logout` |  POST  | Admin logout | Public |

### BusController

| Endpoint              | Method |      Description      | Access |
| :-------------------- | :----: | :-------------------: | :----: |
| `/bus/admin`          |  POST  |      Add new bus      | Admin  |
| `/bus/admin`          |  PUT   |  Update bus details   | Admin  |
| `/bus/admin/{busId}`  | DELETE |      Delete bus       | Admin  |
| `/bus/all`            |  GET   |     Get all buses     | Public |
| `/bus/all/{busId}`    |  GET   | Get bus details by ID | Public |
| `/bus/type/{busType}` |  GET   |   Get buses by type   | Public |

### ReservationController

| Endpoint            | Method |    Description     |    Access     |
| :------------------ | :----: | :----------------: | :-----------: |
| `/user/reservation` |  POST  |  Add reservation   | Authenticated |
| `/user/reservation` | DELETE | Cancel reservation | Authenticated |

### RouteController

| Endpoint       | Method |                Description                | Access |
| :------------- | :----: | :---------------------------------------: | :----: |
| `/route/admin` |  POST  |               Add new route               | Admin  |
| `/route/all`   |  GET   | Get all routes from source to destination | Public |

### UserController

| Endpoint       | Method | Description |    Access     |
| :------------- | :----: | :---------: | :-----------: |
| `/user/login`  |  POST  | User login  |    Public     |
| `/user/logout` |  GET   | User logout | Authenticated |

# Project Structure

```
BusBuddy/
├── .mvn/
│   └── wrapper/
├── src/
│   ├── main/
│   │   ├── java/
│   │   │   └── com/
│   │   │       └── busbuddy/
│   │   └── resources/
│   └── test/
│       ├── java/
│       └── resources/
├── .gitignore
├── mvnw
├── mvnw.cmd
├── pom.xml
└── README.md
```

# Getting Started

## Prerequisites

Java 17 or higher

## Installation

Clone the repository:

```
git clone https://github.com/dee-coder01/BusBuddy.git
```

## Navigate to the project directory:

```
cd BusBuddy
```

## Build the project:

```
mvn clean install
```

## Running the Application

Run the Spring Boot application:

```
mvn spring-boot:run
```

## Access the application at:

```
http://localhost:8080
```

## Contributing

1. Fork the repository
2. Create a new branch

```
git checkout -b feature-name
```

3. Commit your changes

```
git commit -m ""Add some feature""
```

4. Push to the branch

```
git push origin feature-name
```

5. Create a new Pull Request
",0,0,11,,maven-publish.yml
thomasdarimont/keycloak-opa-authz-demo,main,"Keycloak Open Policy Integration Demo
----

Example code for integrating Open Policy Agent with Keycloak presented at Keycloak Dev Day 2024.

[Slides](keycloak-devday-2024-flexible-authz-for-keycloak-with-openpolicyagent.pdf)

# Build

```
mvn clean package -DskipTests
```

# Run

## Run with HTTP

Start the docker compose setup with Keycloak, Open Policy Agent, Mail server.

```
docker compose -f dev/docker-compose.yml up
```

## Run with HTTPS

This example uses https://id.kubecon.test:8443/auth as the Keycloak auth server URL.

To use the example with https just add a mapping for `id.kubecon.test` to your `/etc/hosts` file
and regenerate the certificates via the [mkcert](https://github.com/FiloSottile/mkcert) tool first.

Then start the `dev/docker-compose-https.yml` docker compose file.

´´´
(cd dev/config/certs && mkcert -install && mkcert -cert-file kubecon.pem -key-file kubecon-key.pem ""*.kubecon.test"")

docker compose -f dev/docker-compose-https.yml up
´´´

# Demo

Once up, you can access Keycloak via http://localhost:8080/auth and login with `admin/admin`.

The demo contains a realm called `opademo` that is configured via `dev/config/realms/opademo.yaml`
through [keycloak-config-cli](https://github.com/adorsys/keycloak-config-cli).

## Users

The example contains a few users to demonstrate various aspects.

- Username: ""tester"" with Password: ""test""
- Username: ""admin"" with Password: ""test""
- Username: ""guest"" with Password: ""test""

## Clients

The `opademo` realm contains a few client applications to demonstrate various access policies expressed
with the REGO Policy language provided by OpenPolicyAgent. 

## OPA Access Policy

The client access policies are defined in the file `dev/opa/policies/keycloak/realms/opademo/access/policy.rego`. 
For this demo Open Policy Agent is configured to watch the file for changes and will automatically
update the policies on change.

To enable the policy check, go to `opademo Realm` -> `Authentication` -> `Required Actions` -> `Enable: OPA Policy Check`.

## Realm configuration

The realm with the clients, roles, groups and users are defined in the `dev/config/realms/opademo.yaml` 
config file. 

For the demo the `tester` user can be granted more access incrementally by uncommenting the role / group memeber ship mapping in the `opademo.yaml` file.

To apply the changed realm configuration to the running Keycloak instance, just execute the following command:

`docker restart dev-keycloak-provisioning-1`.",0,0,1,Apache-2.0,
