repo,releases,pulls,open_issues,branches,has_workflows,has_release_workflow,w_simplicity,tests
EasonLyo/sigma,1,0.0,0,1,0.0,0.0,-1.35,0.0
NovaLogics/skills-training-cli-java,0,1.0,0,2,0.0,0.0,1.0,0.0
taoofagi/easegen-admin,0,0.0,0,2,0.0,0.0,1.0,1035.0
kushanb/oop-lec-2024,0,0.0,0,1,0.0,0.0,1.0,0.0
awslabs/s3-tables-catalog,5,24.0,9,5,1.0,0.0,-2.95,23.0
stephanj/Llama3JavaChatCompletionService,0,1.0,0,1,0.0,0.0,1.0,3.0
Jplamo13/Wurst,1,0.0,0,1,0.0,0.0,1.0,0.0
coralblocks/CoralQueue,0,0.0,0,1,0.0,0.0,1.0,9.0
danvega/spring-boot-oauth-demo,0,1.0,2,1,0.0,0.0,1.0,0.0
operaton/operaton,4,334.0,40,18,1.0,0.0,-6.800000000000001,22118.0
adsoftsito/competitive_programming,0,0.0,0,1,0.0,0.0,1.0,0.0
danvega/jte-forms,0,1.0,0,1,0.0,0.0,1.0,0.0
maeddes/hft-24-winter,0,0.0,0,1,0.0,0.0,1.0,0.0
Team254/FRC-2024-Public,0,0.0,0,1,0.0,0.0,1.0,2.0
cibseven/cibseven,3,38.0,1,143,1.0,0.0,-7.6,22130.0
Halfmoonly/feignx-plugin,11,1.0,3,2,0.0,0.0,1.0,0.0
Smart-Shaped/chaM3Leon,0,18.0,0,7,0.0,0.0,1.0,153.0
jtaccuino/jtaccuino,1,23.0,4,1,1.0,1.0,-5.85,0.0
Hirun4/music-app,0,0.0,3,1,0.0,0.0,1.0,0.0
Arfifias/Equees_men,0,0.0,0,1,0.0,0.0,1.0,0.0
ionutbalosin/java-application-security-practices,0,0.0,0,2,0.0,0.0,1.0,0.0
mkpaz/devtoolsfx,0,0.0,1,1,0.0,0.0,1.0,0.0
DVSR1411/onlinebookstore,0,0.0,0,1,0.0,0.0,1.0,0.0
Blueblue1101/SmartFlightCheckInKiosk,0,1.0,0,1,0.0,0.0,1.0,17.0
ChHsiching/GitHub-Chinese-Top-Charts,0,1.0,0,1,0.0,0.0,1.0,0.0
mamiiblt/instafel-updater,6,6.0,1,1,0.0,0.0,-2.15,2.0
microsoft/PyRIT-Ship,0,2.0,0,1,0.0,0.0,1.0,0.0
Funtimes909/ServerSeekerV2,0,3.0,0,2,0.0,0.0,1.0,0.0
langchain4j/langchain4j-community,3,34.0,11,3,1.0,0.0,-5.300000000000001,179.0
singlr-ai/nocaptcha,0,0.0,1,1,0.0,0.0,1.0,13.0
eazybytes/event-driven-microservices,0,0.0,0,1,0.0,0.0,1.0,0.0
Ayush7-BIT/turbo-robot,0,502.0,122,1,0.0,0.0,-0.9,1.0
a8anassis/CF7-Testbed,0,0.0,0,1,0.0,0.0,1.0,0.0
RoastSlav/quickdrop,3,2.0,7,2,0.0,0.0,1.0,0.0
sionpardosi/Student-Learning-Hub-Aplikasi-Sederhana-Latihan-Belajar-Mahasiswa-Berbasis-JAVA,0,0.0,0,1,0.0,0.0,1.0,0.0
anshumansinha3301/Stock-Trading-Simulation,0,1.0,0,2,0.0,0.0,1.0,0.0
hamsterbase/Burrow-UI,2,4.0,0,3,0.0,0.0,1.0,0.0
coderphonui/jsonautorepair,2,3.0,0,1,1.0,0.0,-3.2,21.0
GluuFederation/gluu4,1,67.0,10,8,1.0,1.0,-9.75,2033.0
ReSpouted/OldSpoutLauncher,2,1.0,0,1,0.0,0.0,1.0,0.0
arya2004/leetcode-daily-october-hacktoberfest-2024,0,73.0,31,1,0.0,0.0,1.0,0.0
tzolov/spring-ai-cli-chatbot,0,0.0,0,1,0.0,0.0,1.0,0.0
Alireza-Moh/whisperer_for_laravel,7,24.0,0,4,0.0,0.0,1.0,0.0
BountySecurity/GBountyProfilesDesigner,3,0.0,1,1,0.0,0.0,1.0,0.0
Maharramoff/cross-field-validation,0,0.0,0,1,0.0,0.0,1.0,17.0
danvega/java-rag,0,0.0,0,1,0.0,0.0,1.0,0.0
