repo,releases_count,open_issues_count,branches_count,pulls_count,readme_len,readme_avg_slen,readme_avg_wlen,readme_hcount,readme_snippets_count,readme_mcw,readme_example_count,readme_sample_count,readme_demonstration_count,readme_links,readme_links_count,readme_pmentions,readme_imentions,maven_projects_count,maven_plugins,maven_wars_count,maven_jars_count,maven_poms_count,junit_tests
ENATION-UK/page-builder,1,0,1,0.0,832,16.125,4.75968992248062,8,2,"['image', 'page', 'code', 'generate', 'api']",0,0,0,['http://image2code.itbuilder.cn:7008/text2page -> http://image2code.itbuilder.cn:7008/text2page'],1,0,0,1.0,[org.springframework.boot:spring-boot-maven-plugin],0.0,1.0,0.0,2.0
borjavb/bq-lineage-tool,0,1,1,0.0,7851,23.058823529411764,4.885204081632653,6,2,"['column', 'parser', 'query', 'output', 'used']",13,5,0,"['project by google -> https://github.com/GoogleCloudPlatform/bigquery-data-lineage', 'through the API -> https://cloud.google.com/bigquery/docs/reference/rest/v2/tables']",2,0,0,1.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-shade-plugin,org.apache.maven.plugins:maven-surefire-plugin]",0.0,1.0,0.0,37.0
SearchScale/lucene-cuvs,0,0,5,7.0,2427,31.9,5.968652037617555,5,0,"['searchscale', 'lucene', 'cuvs', 'integration', 'nvidia']",4,0,0,"['CuVS -> https://github.com/rapidsai/cuvs', 'Raft -> https://github.com/rapidsai/raft', 'Apache Lucene -> https://github.com/apache/lucene']",3,0,0,3.0,"[com.googlecode.cmake-maven-project:cmake-maven-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.codehaus.mojo:build-helper-maven-plugin]",0.0,2.0,1.0,0.0
thomasdarimont/keycloak-opa-authz-demo,0,0,1,1.0,2491,24.666666666666668,5.1567567567567565,9,2,"['policy', 'keycloak', 'file', 'demo', 'http']",4,0,0,"['mkcert -> https://github.com/FiloSottile/mkcert', 'keycloak-config-cli -> https://github.com/adorsys/keycloak-config-cli']",2,0,0,1.0,[],0.0,1.0,0.0,0.0
linux-china/sieve-cache,1,1,1,0.0,905,24.6,5.154471544715447,2,2,"['sieve', 'cache', 'simpler', 'lru', 'efficiency']",0,0,0,[],0,0,0,1.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-source-plugin,org.sonatype.plugins:nexus-staging-maven-plugin]",0.0,1.0,0.0,3.0
Hejow/easy-restdocs-generator,4,0,2,1.0,2281,33.111111111111114,5.315436241610739,9,4,"['use', 'builder', 'generate', 'test', 'generator']",2,1,0,"['![Maven Central -> https://img.shields.io/maven-central/v/io.github.hejow/easy-restdocs-generator.svg', '![GitHub license -> https://img.shields.io/badge/License-Apache%202.0-blue.svg', 'see here -> https://github.com/Hejow/easy-restdocs-generator/blob/f25657a5aa20f813d9814d00b661bf6e11d300dd/sample/src/test/java/com/simplerestdocs/user/UserControllerTest.java#L45']",3,0,0,1.0,[],0.0,1.0,0.0,3.0
pinterest/tiered-storage,0,0,9,4.0,7464,19.607142857142858,5.428051001821494,14,0,"['storage', 'broker', 'tiered', 'apache', 'system']",0,0,0,"['Apache Kafka® -> https://kafka.apache.org/', 'Apache Kafka® -> https://kafka.apache.org/', 'KIP-405 -> https://cwiki.apache.org/confluence/display/KAFKA/KIP-405%3A+Kafka+Tiered+Storage?uclick_id=11f222c6-967b-4935-98a9-cc88aafad7f5', 'MemQ -> https://github.com/pinterest/memq', 'PubSub Client -> https://github.com/pinterest/psc', 'PubSub Client -> https://github.com/pinterest/psc', 'MemQ -> https://github.com/pinterest/memq', 'Orion -> https://github.com/pinterest/orion']",8,0,0,5.0,"[maven-dependency-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-shade-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin]",0.0,4.0,1.0,2.0
burukeYou/fast-retry,0,2,1,0.0,3699,108.66666666666669,6.450920245398773,6,5,"['x', 'fastretry']",0,0,0,['![License -> http://img.shields.io/badge/license-apache%202-brightgreen.svg'],1,0,0,2.0,"[org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.sonatype.central:central-publishing-maven-plugin,org.sonatype.plugins:nexus-staging-maven-plugin]",0.0,2.0,0.0,30.0
jonas-grgt/bob,6,5,1,17.0,7226,31.32258064516129,5.433573635427394,22,21,"['field', 'builder', 'set', 'default', 'constructor']",3,0,0,"['![Maven Central -> https://img.shields.io/maven-central/v/io.jonasg/bob-annotations.svg', '![License -> https://img.shields.io/github/license/jonas-grgt/bob.svg']",2,0,0,3.0,"[com.diffplug.spotless:spotless-maven-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-deploy-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.codehaus.mojo:flatten-maven-plugin,org.jreleaser:jreleaser-maven-plugin]",0.0,2.0,1.0,6.0
Yanyutin753/refresh-gpt-chat,10,1,1,0.0,1981,39.5,6.29535864978903,10,0,"['use', 'intercept', 'interface', 'oaifree', 'key']",0,0,0,"['Docker Image Size (tag) -> https://img.shields.io/docker/image-size/yangclivia/refresh-gpt-chat/latest', 'Docker Pulls -> https://img.shields.io/docker/pulls/yangclivia/refresh-gpt-chat', '![GitHub Repo stars -> https://img.shields.io/github/stars/Yanyutin753/refresh-gpt-chat?style=social', 'refresh-gpt-chat -> https://github.com/Yanyutin753/refresh-gpt-chat', 'refresh-gpt-chat -> https://github.com/Yanyutin753/refresh-gpt-chat', '✨点击查看文档站 -> https://apifox.com/apidoc/shared-4b9a7517-3f80-47a1-84fc-fcf78827a04a', '![Star History Chart -> https://api.star-history.com/svg?repos=Yanyutin753/refresh-gpt-chat&type=Date']",7,0,0,1.0,[org.springframework.boot:spring-boot-maven-plugin],0.0,1.0,0.0,0.0
