repo,srs
polespinasa/bitcoin-grouphug,0.9992020971004665
RReverser/wasmbin,0.9984656647208685
Rolv-Apneseth/rofi-nerdy,0.996673950363566
d0nutptr/talaria,0.9985076794609036
friendlymatthew/leptos-theme,0.9977726946271359
ThomasVitale/langchain4j-spring-boot,0.9757537497337858
utilForever/2024-SNU-Rust-Application,0.995525704824095
guissalustiano/jewel,0.996673950363566
arconia-io/arconia,0.9998235279043829
awwsmm/hello-rust-sdl2-wasm,0.9957270855711963
maxcountryman/tower-sessions-stores,0.999602263633481
Leafwing-Studios/leafwing_manifest,0.9999811636462247
kpcyrd/archlinux-userland-fs-cmp,0.9971365876739775
LadyJessie19/MyFood,0.995525704824095
borjavb/bq-lineage-tool,0.9958591543352777
MetaGLM/zhipuai-sdk-java-v4,0.9978097248556672
domwoe/inscription_canister,0.9973564576587137
loco-rs/chat-rooms,0.9973564576587137
habuma/spring-ai-examples,0.9967924344771821
vidhanio/hypertext,0.9998574069001313
regolith-labs/ore-app,0.9583537543762755
Abraxas-365/langchain-rust,0.1805441423513361
ri-char/pwatch,0.9984656647208685
orhun/rust-stdout-vs-stderr,0.9976716115881936
SarthakChaudhary46/100-Days-Of-CODE,0.995525704824095
TennyZhuang/ref-stable-lru,0.9973564576587137
linux-china/sieve-cache,0.9970804166668731
ThomasVitale/llm-apps-java-langchain4j,0.995525704824095
GizaSystems/AutomationExercisePractice,0.997688122131647
xyzbtw/StashMoverPlugin,0.99992779534911
redixhumayun/raft,0.995525704824095
worldcoin/orb-core,0.996673950363566
sweelam/api-design-and-management-talk,0.9983800404555423
Bram1903/AntiHealthIndicator,0.9771433513489202
skyzh/mini-lsm-solution-checkpoint,0.9989695953079466
HerodotusDev/hdp,0.7160671582515037
tracyspacy/yacht,0.9974102121807059
schell/crabslab,0.9961179839836964
crrow/kisekifs,0.9908814911804629
jedisct1/rust-sieve-cache,0.9961179839836964
ginger51011/pandoras_pot,0.99996948965238
effector/swc-plugin,0.9961096261851708
rohaquinlop/complexipy,0.9876910179780591
basro/stylance-rs,0.9889153604064762
ztroop/dead-ringer,0.9998707471995626
ckaznable/tenki,0.9654779221920151
lukewilliamboswell/roc-ray,0.8984468022309675
CleanroomMC/Fugue,0.2533316936052344
AnimatedSwine37/UnrealEssentials,0.9797763811745722
rust-lang/calendar,0.9636980812238253
maxdeviant/auk,0.9998288140729018
find-xposed-magisk/LSPatch,0.9977224033773923
ThomasVitale/llm-apps-java-spring-ai,0.9964314212798365
gauge-sh/tach,0.049973126400459346
jinganix/guess,0.9998071751904577
kittynode/kittynode,0.4264251346691347
elkasztano/juliafatou,0.995525704824095
Rigidity/offline-signer,0.9957270855711963
DedicatedSoftwareDev/OAK-blockchain,0.995525704824095
VeteranSoftDev/Polkadot-origintrail-parachain,0.995525704824095
spotlightishere/spotdj,0.995525704824095
bnkc/unpack,0.9983364349719663
shenjinti/browserlify,0.995525704824095
malik672/open-stylus,0.9975162523333628
dnwwdwd/homieMatching,0.9972474892525033
mumbleskates/bilrost,0.974557822860337
m0veax/tplink_m7350,0.9993223763528919
LaurentMazare/mamba.rs,0.995525704824095
jetty/jetty-examples,0.9955117197577921
stackabletech/trino-lb,0.9365791999300788
VanOvermeire/rust-macros-book,0.995525704824095
Lommix/bevy_aseprite_ultra,0.9995819965751024
JustAlittleWolf/ModDetectionPreventer,0.9995348368316747
txtx/txtx,0.4659096990542655
SuperioOne/nut_webgui,0.9994424971434572
wen-community/wen-program-library,0.6946215919443159
MythicalCow/vayu,0.9999617105273084
Katana-Official/Meta,0.9883125109552025
BreakingLead/blockworld,0.9974634777092886
0glabs/0g-storage-node,0.1410644166477717
tinted-theming/tinty,0.8689291572923958
UkoeHB/bevy_cobweb,0.9977224033773923
MercuryWorkshop/epoxy-tls,0.9986305097462449
Sirneij/cryptoflow,0.995525704824095
theelderbeever/kubectl-guardrails,0.9984656647208685
vigimite/serverless-pipelines-in-rust,0.995525704824095
richardanaya/gbnf,0.9958591543352777
MirnaGama/hospital-management-api,0.9993520352645497
jkallio/pomodoro-cli,0.9993829798529487
DJ-Raven/java-messenger,0.9961179839836964
linkdd/shipp,0.9967924344771821
swlkr/hyped,0.9977726946271359
MehVahdJukaar/polytone,0.9978097248556672
sphaerophoria/todo-fs,0.9963074055913624
vesavvo/design_patterns,0.995525704824095
vexide/vex-v5-qemu,0.9894997729563926
KDABLabs/cxx-qt-servo-webview,0.96887521925355
fitzgen/safe-gc,0.9957270855711963
DHD2280/BCR-Manager,0.9968826753883412
QuState/PhastFT,0.9948658949243527
lgdd/liferay-client-extensions-samples,0.9957270855711963
olekspickle/serde_default_utils,0.9994064772863271
gyroflow/gyroflow-plugins,0.999708900601319
Yanyutin753/refresh-gpt-chat,0.997434175463556
javpower/easy-flv,0.996673950363566
Privoce/GenUI,0.9979205456836925
ethersync/ethersync,0.7299798901989832
huggingface/ratchet,0.04016603452781345
xdev-software/spring-data-eclipse-store,0.5594175596184955
adamperkowski/highlightos,0.9939634757608943
zkVerify/zkVerify,0.696692638800862
AndrejOrsula/pyo3_bindgen,0.9989984705493418
eric9n/Kun-peng,0.6165982994928902
OJarrisonn/vaca,0.9937517263692857
lmorais-dev/qmachina,0.9939634757608943
craigmayhew/pipe-gpt,0.99996948965238
oldmanpushcart/qianfan4j,0.9967924344771821
Cryolitia/GPD-LinuxControls,0.9963074055913624
axelerator/ruelm,0.9968509749808211
BLaZeKiLL/webray,0.9971922791641112
microsoft/rust-symcrypt,0.9549970494109182
hgaiser/moonshine,0.9997141891207662
Onizuka893/prayerbar,0.9992633930717629
LyonSyonII/run,0.9992877609508605
yoshuawuyts/wasm-http-tools,0.9985076794609036
geofmureithi/edita,0.9994333358736911
algorealmInc/SwarmNL,0.9997462840580467
viridia/bevy_reactor,0.998549159902336
guofei9987/hidden_watermark,0.9958591543352777
madesroches/micromegas,0.7309614062129082
uutils/procps,0.923506381819519
BigBoot/AutoKuma,0.99239363314567
ryo33/egui_hooks,0.9977726946271359
timrogers/litra-rs,0.6498617469280719
1brc/nodejs,0.9961179839836964
ismael221/OpenStreamify,0.9982476473666587
solidquant/sandooo,0.9997811786058046
igor-pcholkin/DataAnonymization,0.9967924344771821
crust-gather/crust-gather,0.8879094660785022
fasterthanlime/oval,0.9999850425899963
dev-backpack/cllm,0.9979277775161746
VeteranSoftDev/OAK-blockchain,0.995525704824095
0xlarry/byo_mint,0.9995819965751024
sameh-tarek/Fawry-Internship,0.9970237680223263
ark-network/clArk,0.9986703750635446
mlund/ultimate64,0.9999278422795174
cavemanloverboy/sol,0.9976203211971467
ch32-rs/ch32-data,0.9985076794609036
distributed-lab/taprootized-atomic-swaps,0.9982923032732303
bones-ai/rust-ecosystem-simulation,0.9957270855711963
devyn/nu_plugin_dbus,0.9987470970458776
syurazo/cardputer,0.9964927440728906
bluenote-1577/fairy,0.9999811636462247
helius-labs/atlas-txn-sender,0.9997722329280191
xielong/ai-hub,0.9958591543352777
bltavares/axum-content-negotiation,0.9964927440728906
worldcoin/mpc-uniqueness-check,0.8503138745867287
B-urb/doclytics,0.09257522794096988
Apress/ChatGPT-for-Java,0.9967924344771821
calebfletcher/foc,0.9987484762350235
robertknight/ocrs,0.9904787495909368
CASELOAD7000/knockback-sync,0.9956873949475824
Proxtx/crontab_status,0.995525704824095
nabbisen/mdka-rs,0.36971321055190765
jnhyatt/bevy_mod_async,0.9987096979118766
0xPolygonZero/eth-tx-proof,0.992152453273085
orca-so/whirlpool-cpi,0.9996481981163161
0xBoji/180DaysOfRust,0.995525704824095
gaucho-labs/leptos-hotkeys,0.8037449608144084
AdinAck/cargo-embassy,0.999881541936621
freethinkel/tauri-nspopover-plugin,0.9966140104448518
YuhanLiin/micropb,0.9960539445068218
jakzo/Il2CppDecompiler,0.9958591543352777
AkshathSai/streamspace,0.9868876182195694
software-mansion/cairo-profiler,0.905665985817065
LelsersLasers/UnderwaterWorld,0.9975162523333628
yashwanthsinghm/shakti_riscv_hal,0.9964927440728906
0xsouravm/csvr,0.9978717677312129
wch2019/xiaohai-blog,0.9963074055913624
js2xxx/ferroc,0.9967924344771821
axodotdev/axoupdater,0.4183698975166333
IamTheCarl/CommandCAD,0.999170587213162
bedrock-crustaceans/violinrs,0.995525704824095
phy1um/rust-simple-vm,0.9997900777148431
Poempoat/LimboEmulatorPlus,0.9999625893974831
apache/datafusion-comet,0.12433693866487062
cloudflare/foundations,0.9546525368318055
project-gauntlet/gauntlet,0.9837451895344222
bobobo1618/ninesleep,0.9981567709323032
wez/govee2mqtt,0.7787184163527822
alegian/thaumcraft7,0.9957270855711963
hadasz/plonkish_basefold,0.9979205456836925
koupleless/koupleless,0.24482467350248308
d1tto/Rengar,0.9958591543352777
virtee/tdx,0.9971922791641112
easystartup-io/k3s-simplified,0.9826084042383942
conradludgate/measured,0.9995103559783423
palerdot/wordl-rs,0.9980423027657974
mtb0x1/1brc,0.995525704824095
Kapsyloffer/RUSTBU,0.9926305340770177
antlr/antlr5,0.997301785796416
danvega/rest-client-examples,0.9958591543352777
renpenguin/display3d,0.995525704824095
Qiskit/openqasm3_parser,0.39101704897055445
chirpstack/chirpstack-gateway-mesh,0.999917680548933
MortalreminderPT/edit-xlsx,0.9993509953566976
xfactor-toml/rust-coding-challenges,0.9989179922214688
ethereumdegen/bevy_mesh_terrain_editor,0.9987484762350235
chensheng/ddd-boot,0.995525704824095
SpeckyYT/gd_sfx,0.9999549770117676
brickadia/p4-fast-reconcile,0.9984231177112253
SpriteOvO/closely,0.9624809657575683
LemmyNet/lemmy-client-rs,0.9962717983735238
luisbedoia/sx3d,0.9957270855711963
tingerrr/typst-test,0.9999756802469987
Kamesuta/BungeePteroPower,0.9947696624883733
karthikreddy-7/TCS-NQT-CODING-SHEET,0.9985076794609036
Rozmir-Rohi/mo-creatures-legacy,0.9994596033078413
Lord-of-Algorithms/DSA-in-Java,0.995525704824095
imatefx/typesense-prometheus-exporter,0.9999625893974831
aliyun/dataworks-spec,0.9884649630632683
taproot-wizards/purrfect_vault,0.9979205456836925
0xDerked/solana-anchor-examples,0.995525704824095
maxcountryman/axum-messages,0.9965079302333555
shuttle-hq/shuttlings,0.9959245278986919
aws-samples/s3-fast-list,0.995525704824095
TFyre/bambu-farm,0.9268010589636608
sidduganeshsid/Core-Java,0.9964927440728906
trailofbits/decree,0.9961815751887184
thebracket/one_billion_rows,0.995525704824095
Trendyol/kafkathena-jakarta,0.9967924344771821
0xGlitchbyte/OCrab,0.9971922791641112
cppcoffee/netguard,0.998861523409219
zpp0196/localsend-rs,0.9981567709323032
thmshmm/taskui,0.997165754620448
cmars/distrans,0.06614408329817052
caolib/book_management_system,0.9974634777092886
Ragnt/AngryTrainer,0.995525704824095
WilfredAlmeida/LightDAS,0.9996046710486786
flyaruu/rc-car,0.9964927440728906
frc-862/rhapsody,0.3966780651621425
