repo,srs
polespinasa/bitcoin-grouphug,0.5000019075705278
RReverser/wasmbin,0.500003870705834
Rolv-Apneseth/rofi-nerdy,0.5000099199235448
d0nutptr/talaria,0.49999628255586914
friendlymatthew/leptos-theme,0.4999995094014385
ThomasVitale/langchain4j-spring-boot,0.5000009100050993
utilForever/2024-SNU-Rust-Application,0.4999986964440076
guissalustiano/jewel,0.49999257401189945
arconia-io/arconia,0.4999962127444739
awwsmm/hello-rust-sdl2-wasm,0.5000163306827944
maxcountryman/tower-sessions-stores,0.49999134123217487
Leafwing-Studios/leafwing_manifest,0.5000033281637314
kpcyrd/archlinux-userland-fs-cmp,0.4999954823851514
LadyJessie19/MyFood,0.4999939748977546
borjavb/bq-lineage-tool,0.49999215079568887
MetaGLM/zhipuai-sdk-java-v4,0.49999693676037216
domwoe/inscription_canister,0.4999929319019033
loco-rs/chat-rooms,0.49999457259476515
habuma/spring-ai-examples,0.49998933325719
vidhanio/hypertext,0.49999663534993755
regolith-labs/ore-app,0.5000075964567565
Abraxas-365/langchain-rust,0.4999924650474978
ri-char/pwatch,0.4999946485038688
orhun/rust-stdout-vs-stderr,0.49999955360097054
SarthakChaudhary46/100-Days-Of-CODE,0.4999958155454257
TennyZhuang/ref-stable-lru,0.49999426329053553
linux-china/sieve-cache,0.4999926756197523
ThomasVitale/llm-apps-java-langchain4j,0.5000005918230479
GizaSystems/AutomationExercisePractice,0.5000015288431537
xyzbtw/StashMoverPlugin,0.4999945971315778
redixhumayun/raft,0.49999344829326176
worldcoin/orb-core,0.49999775530927615
sweelam/api-design-and-management-talk,0.49999029255102456
Bram1903/AntiHealthIndicator,0.4999967913183338
skyzh/mini-lsm-solution-checkpoint,0.500000228293978
HerodotusDev/hdp,0.5000113690692125
tracyspacy/yacht,0.4999956144501102
schell/crabslab,0.49999343731244106
crrow/kisekifs,0.4999940768885875
jedisct1/rust-sieve-cache,0.4999936260071818
ginger51011/pandoras_pot,0.49999580606965915
effector/swc-plugin,0.5000020270416936
rohaquinlop/complexipy,0.49999647163879773
basro/stylance-rs,0.49999954784579453
ztroop/dead-ringer,0.5000136699832718
ckaznable/tenki,0.5000100512264897
lukewilliamboswell/roc-ray,0.4999962064925764
CleanroomMC/Fugue,0.4999999542956495
AnimatedSwine37/UnrealEssentials,0.5000028103390354
rust-lang/calendar,0.49999611331187965
maxdeviant/auk,0.49999564614698516
find-xposed-magisk/LSPatch,0.49999449555116027
ThomasVitale/llm-apps-java-spring-ai,0.49999277445905693
gauge-sh/tach,0.49999700327064517
jinganix/guess,0.499993081769864
kittynode/kittynode,0.5000008369043715
elkasztano/juliafatou,0.5000047411197904
Rigidity/offline-signer,0.5000028254250425
DedicatedSoftwareDev/OAK-blockchain,0.5000054014034827
VeteranSoftDev/Polkadot-origintrail-parachain,0.5000025732043284
spotlightishere/spotdj,0.49999549089845174
bnkc/unpack,0.5000011757324244
shenjinti/browserlify,0.5000057524159616
malik672/open-stylus,0.5000085364793706
dnwwdwd/homieMatching,0.49999727578986325
mumbleskates/bilrost,0.4999921194304723
m0veax/tplink_m7350,0.5000035154637581
LaurentMazare/mamba.rs,0.5000049699958077
jetty/jetty-examples,0.5000084159762135
stackabletech/trino-lb,0.4999971586692792
VanOvermeire/rust-macros-book,0.4999875223428033
Lommix/bevy_aseprite_ultra,0.4999985887674418
JustAlittleWolf/ModDetectionPreventer,0.49999566041746674
txtx/txtx,0.499994923392584
SuperioOne/nut_webgui,0.5000067090280179
wen-community/wen-program-library,0.4999991347558712
MythicalCow/vayu,0.4999954961541699
Katana-Official/Meta,0.5000061463646177
BreakingLead/blockworld,0.4999952145239371
0glabs/0g-storage-node,0.5000052260893271
tinted-theming/tinty,0.5000010893932741
UkoeHB/bevy_cobweb,0.49999850473407775
MercuryWorkshop/epoxy-tls,0.5000073786715048
Sirneij/cryptoflow,0.4999959529706992
theelderbeever/kubectl-guardrails,0.5000129582239009
vigimite/serverless-pipelines-in-rust,0.5000034469172412
richardanaya/gbnf,0.4999957408654373
MirnaGama/hospital-management-api,0.4999934653866039
jkallio/pomodoro-cli,0.4999968587016
DJ-Raven/java-messenger,0.5000079405323268
linkdd/shipp,0.4999995119150381
swlkr/hyped,0.49999475781466407
MehVahdJukaar/polytone,0.49999337520287074
sphaerophoria/todo-fs,0.49999220523117177
vesavvo/design_patterns,0.4999890648057537
vexide/vex-v5-qemu,0.499997655057622
KDABLabs/cxx-qt-servo-webview,0.5000053672141768
fitzgen/safe-gc,0.49999340084843324
DHD2280/BCR-Manager,0.4999994372129931
QuState/PhastFT,0.4999927028343256
lgdd/liferay-client-extensions-samples,0.5000003890011645
olekspickle/serde_default_utils,0.49999107481741545
gyroflow/gyroflow-plugins,0.5000024204706324
Yanyutin753/refresh-gpt-chat,0.49999876225079853
javpower/easy-flv,0.4999990515909498
Privoce/GenUI,0.50000327820484
ethersync/ethersync,0.5000020246596283
huggingface/ratchet,0.49999602117242065
xdev-software/spring-data-eclipse-store,0.5000176427802782
adamperkowski/highlightos,0.5000032747989852
zkVerify/zkVerify,0.49999951140960275
AndrejOrsula/pyo3_bindgen,0.4999987154590092
eric9n/Kun-peng,0.49999526344970624
OJarrisonn/vaca,0.49999407203067153
lmorais-dev/qmachina,0.4999950317488406
craigmayhew/pipe-gpt,0.499999299316093
oldmanpushcart/qianfan4j,0.5000043568815877
Cryolitia/GPD-LinuxControls,0.5000020567179699
axelerator/ruelm,0.49999500790775203
BLaZeKiLL/webray,0.5000029388550458
microsoft/rust-symcrypt,0.4999952115515661
hgaiser/moonshine,0.5000080087082394
Onizuka893/prayerbar,0.5000166768959374
LyonSyonII/run,0.5000092791942605
yoshuawuyts/wasm-http-tools,0.5000021003797092
geofmureithi/edita,0.5000024413323676
algorealmInc/SwarmNL,0.49999790259639526
viridia/bevy_reactor,0.49999122982478716
guofei9987/hidden_watermark,0.49999896116939313
madesroches/micromegas,0.4999953661041988
uutils/procps,0.5000112245991815
BigBoot/AutoKuma,0.5000000944610056
ryo33/egui_hooks,0.499991891981245
timrogers/litra-rs,0.500005902157268
1brc/nodejs,0.4999907134777723
ismael221/OpenStreamify,0.5000031182242554
solidquant/sandooo,0.4999935451545137
igor-pcholkin/DataAnonymization,0.4999971421721526
crust-gather/crust-gather,0.4999996853451607
fasterthanlime/oval,0.49999324319115496
dev-backpack/cllm,0.5000025833907784
VeteranSoftDev/OAK-blockchain,0.5000054014034827
0xlarry/byo_mint,0.49999790267228994
sameh-tarek/Fawry-Internship,0.49999599982261533
ark-network/clArk,0.4999945149989258
mlund/ultimate64,0.5000112811136552
cavemanloverboy/sol,0.49999777646184895
ch32-rs/ch32-data,0.49999973151268906
distributed-lab/taprootized-atomic-swaps,0.49999458230720223
bones-ai/rust-ecosystem-simulation,0.4999937871066526
devyn/nu_plugin_dbus,0.5000052118796329
syurazo/cardputer,0.5000015627380822
bluenote-1577/fairy,0.5000113559100795
helius-labs/atlas-txn-sender,0.5000049112411078
xielong/ai-hub,0.4999971705082397
bltavares/axum-content-negotiation,0.5000095540158022
worldcoin/mpc-uniqueness-check,0.499992622059118
B-urb/doclytics,0.5000112965054386
Apress/ChatGPT-for-Java,0.4999993466974136
calebfletcher/foc,0.49999231300510644
robertknight/ocrs,0.499999114095299
CASELOAD7000/knockback-sync,0.4999963574252987
Proxtx/crontab_status,0.5000062648302485
nabbisen/mdka-rs,0.49999257610446857
jnhyatt/bevy_mod_async,0.49998958038584146
0xPolygonZero/eth-tx-proof,0.5000049472593243
orca-so/whirlpool-cpi,0.4999940900655391
0xBoji/180DaysOfRust,0.4999904180544724
gaucho-labs/leptos-hotkeys,0.4999942774603838
AdinAck/cargo-embassy,0.4999939872762496
freethinkel/tauri-nspopover-plugin,0.4999977828990165
YuhanLiin/micropb,0.49999468062272395
jakzo/Il2CppDecompiler,0.4999999984703126
AkshathSai/streamspace,0.49999652330428707
software-mansion/cairo-profiler,0.500015936398671
LelsersLasers/UnderwaterWorld,0.4999920259795203
yashwanthsinghm/shakti_riscv_hal,0.4999926055451788
0xsouravm/csvr,0.5000046475602514
wch2019/xiaohai-blog,0.5000008775339866
