repo,srs
polespinasa/bitcoin-grouphug,0.4999967521235247
RReverser/wasmbin,0.4999958942758816
Rolv-Apneseth/rofi-nerdy,0.4999996417409965
d0nutptr/talaria,0.5000012665685792
friendlymatthew/leptos-theme,0.4999956004664544
ThomasVitale/langchain4j-spring-boot,0.499997453155789
utilForever/2024-SNU-Rust-Application,0.5000045756962459
guissalustiano/jewel,0.49999699441944134
arconia-io/arconia,0.4999998018239997
awwsmm/hello-rust-sdl2-wasm,0.5000037447543495
maxcountryman/tower-sessions-stores,0.49999867109611035
Leafwing-Studios/leafwing_manifest,0.5000007411567332
kpcyrd/archlinux-userland-fs-cmp,0.5000013058325911
LadyJessie19/MyFood,0.5000013169714516
borjavb/bq-lineage-tool,0.5000053259836698
MetaGLM/zhipuai-sdk-java-v4,0.49999847403726394
domwoe/inscription_canister,0.49999988130819467
loco-rs/chat-rooms,0.49999747867664424
habuma/spring-ai-examples,0.4999969587916239
vidhanio/hypertext,0.49999779038649456
regolith-labs/ore-app,0.5000008860007009
Abraxas-365/langchain-rust,0.500002415315237
ri-char/pwatch,0.5000058518821393
orhun/rust-stdout-vs-stderr,0.5000009905561272
SarthakChaudhary46/100-Days-Of-CODE,0.49999875009141653
TennyZhuang/ref-stable-lru,0.4999960896780839
linux-china/sieve-cache,0.5000003748934222
ThomasVitale/llm-apps-java-langchain4j,0.49999690923329665
GizaSystems/AutomationExercisePractice,0.5000015132225135
xyzbtw/StashMoverPlugin,0.5000022390572869
redixhumayun/raft,0.4999973926135906
worldcoin/orb-core,0.5000021407605049
sweelam/api-design-and-management-talk,0.5000028888310268
Bram1903/AntiHealthIndicator,0.49999848753632997
skyzh/mini-lsm-solution-checkpoint,0.5000084719327651
HerodotusDev/hdp,0.4999954916154495
tracyspacy/yacht,0.500001797194795
schell/crabslab,0.5000064226391956
crrow/kisekifs,0.4999993646331347
jedisct1/rust-sieve-cache,0.5000012363398952
ginger51011/pandoras_pot,0.5000040837346834
effector/swc-plugin,0.49999440073232027
rohaquinlop/complexipy,0.5000041320496315
basro/stylance-rs,0.4999994279098658
ztroop/dead-ringer,0.5000034690170747
ckaznable/tenki,0.49999948772336844
