repo,srs
polespinasa/bitcoin-grouphug,0.4999852151470736
RReverser/wasmbin,0.5000012861311132
Rolv-Apneseth/rofi-nerdy,0.4999767661644455
d0nutptr/talaria,0.49999508250961133
friendlymatthew/leptos-theme,0.5000186299518926
ThomasVitale/langchain4j-spring-boot,0.49999552037008443
utilForever/2024-SNU-Rust-Application,0.5000145142205661
guissalustiano/jewel,0.5000137231146373
arconia-io/arconia,0.5000088994600769
awwsmm/hello-rust-sdl2-wasm,0.5000072294939145
maxcountryman/tower-sessions-stores,0.500013073104108
Leafwing-Studios/leafwing_manifest,0.49999086887279365
kpcyrd/archlinux-userland-fs-cmp,0.5000014460647271
LadyJessie19/MyFood,0.5000090884979403
borjavb/bq-lineage-tool,0.5000044490626023
MetaGLM/zhipuai-sdk-java-v4,0.5000000599222159
domwoe/inscription_canister,0.500009587165953
loco-rs/chat-rooms,0.5000107670972095
habuma/spring-ai-examples,0.5000067205345101
vidhanio/hypertext,0.5000195300992023
regolith-labs/ore-app,0.5000000982808576
Abraxas-365/langchain-rust,0.5000056201963219
ri-char/pwatch,0.5000141916684782
orhun/rust-stdout-vs-stderr,0.49997369527479874
SarthakChaudhary46/100-Days-Of-CODE,0.49998724176775644
TennyZhuang/ref-stable-lru,0.4999976520318295
linux-china/sieve-cache,0.500015842343399
ThomasVitale/llm-apps-java-langchain4j,0.4999866963342778
GizaSystems/AutomationExercisePractice,0.5000103218188984
xyzbtw/StashMoverPlugin,0.5000061083698586
redixhumayun/raft,0.5000049935901245
worldcoin/orb-core,0.4999950390644388
sweelam/api-design-and-management-talk,0.5000011257046145
Bram1903/AntiHealthIndicator,0.5000085011542996
skyzh/mini-lsm-solution-checkpoint,0.5000168035581671
HerodotusDev/hdp,0.4999940183348876
tracyspacy/yacht,0.49999718129224613
schell/crabslab,0.5000076498784771
crrow/kisekifs,0.49998921269721236
jedisct1/rust-sieve-cache,0.5000125031963848
ginger51011/pandoras_pot,0.5000094253023954
effector/swc-plugin,0.49999982737728826
rohaquinlop/complexipy,0.500009146230117
basro/stylance-rs,0.5000124306552127
ztroop/dead-ringer,0.5000179729315443
ckaznable/tenki,0.49999775050838724
lukewilliamboswell/roc-ray,0.5000046173335569
CleanroomMC/Fugue,0.5000062634508989
AnimatedSwine37/UnrealEssentials,0.5000067766120467
rust-lang/calendar,0.5000136856423232
maxdeviant/auk,0.5000121600277696
find-xposed-magisk/LSPatch,0.500006870990935
ThomasVitale/llm-apps-java-spring-ai,0.49998434609807707
gauge-sh/tach,0.499981950426976
jinganix/guess,0.5000035134393889
kittynode/kittynode,0.49999747649419946
elkasztano/juliafatou,0.4999926893747268
Rigidity/offline-signer,0.4999845698071569
DedicatedSoftwareDev/OAK-blockchain,0.4999758796148324
VeteranSoftDev/Polkadot-origintrail-parachain,0.4999761161042678
spotlightishere/spotdj,0.500012945994769
bnkc/unpack,0.5000080549871907
shenjinti/browserlify,0.5000003100327863
malik672/open-stylus,0.5000141825189656
dnwwdwd/homieMatching,0.500008554090181
mumbleskates/bilrost,0.5000020631692274
