repo,srs
polespinasa/bitcoin-grouphug,0.9992020629297106
RReverser/wasmbin,0.9984656041339758
Rolv-Apneseth/rofi-nerdy,0.9966737950129476
d0nutptr/talaria,0.998507616568729
friendlymatthew/leptos-theme,0.9977726044920219
ThomasVitale/langchain4j-spring-boot,0.9757507317153836
utilForever/2024-SNU-Rust-Application,0.9955254793831134
guissalustiano/jewel,0.996673788455433
arconia-io/arconia,0.999823425309125
awwsmm/hello-rust-sdl2-wasm,0.9957268821317213
maxcountryman/tower-sessions-stores,0.9996021244476763
Leafwing-Studios/leafwing_manifest,0.9999811049285653
kpcyrd/archlinux-userland-fs-cmp,0.9971364639506738
LadyJessie19/MyFood,0.995525475367143
borjavb/bq-lineage-tool,0.9958589506166236
MetaGLM/zhipuai-sdk-java-v4,0.9978093183770161
domwoe/inscription_canister,0.9973563375748999
loco-rs/chat-rooms,0.9973563336648442
habuma/spring-ai-examples,0.9967922847622604
vidhanio/hypertext,0.9998573908330659
regolith-labs/ore-app,0.9583487018387938
Abraxas-365/langchain-rust,0.18050216969187685
ri-char/pwatch,0.9984655939783632
orhun/rust-stdout-vs-stderr,0.9976715043057962
SarthakChaudhary46/100-Days-Of-CODE,0.9955254696677219
TennyZhuang/ref-stable-lru,0.9973563349140988
linux-china/sieve-cache,0.9970802797341101
ThomasVitale/llm-apps-java-langchain4j,0.9955254841927923
GizaSystems/AutomationExercisePractice,0.9976877221129109
xyzbtw/StashMoverPlugin,0.9999277722597211
redixhumayun/raft,0.9955254855471822
worldcoin/orb-core,0.9966737838777543
sweelam/api-design-and-management-talk,0.9983799731064642
Bram1903/AntiHealthIndicator,0.9771405045016278
skyzh/mini-lsm-solution-checkpoint,0.9989695643995053
HerodotusDev/hdp,0.7160359626764559
tracyspacy/yacht,0.9974100985169478
schell/crabslab,0.9961177843634704
crrow/kisekifs,0.9908802459529207
jedisct1/rust-sieve-cache,0.9961177897464359
ginger51011/pandoras_pot,0.9999694248569369
effector/swc-plugin,0.9961090216630689
rohaquinlop/complexipy,0.9876893992394783
basro/stylance-rs,0.9889138892032423
ztroop/dead-ringer,0.9998707335281206
ckaznable/tenki,0.9654737099859945
lukewilliamboswell/roc-ray,0.8984347818318947
CleanroomMC/Fugue,0.25328493617594566
AnimatedSwine37/UnrealEssentials,0.9797738528302892
rust-lang/calendar,0.963693651539426
maxdeviant/auk,0.9998287856316426
find-xposed-magisk/LSPatch,0.9977222949666401
ThomasVitale/llm-apps-java-spring-ai,0.9964312506988247
gauge-sh/tach,0.04998729524206249
jinganix/guess,0.9998070609539754
kittynode/kittynode,0.42637660390070437
elkasztano/juliafatou,0.9955254766923606
Rigidity/offline-signer,0.9957268691736503
DedicatedSoftwareDev/OAK-blockchain,0.9955254813103459
VeteranSoftDev/Polkadot-origintrail-parachain,0.9955254810501831
spotlightishere/spotdj,0.9955254712880267
bnkc/unpack,0.9983363737169121
shenjinti/browserlify,0.9955254765216804
malik672/open-stylus,0.9975161515200793
dnwwdwd/homieMatching,0.997247348568604
mumbleskates/bilrost,0.9745546644022826
m0veax/tplink_m7350,0.9993223545884229
LaurentMazare/mamba.rs,0.9955254812877843
jetty/jetty-examples,0.995511032504036
stackabletech/trino-lb,0.9365715958430493
VanOvermeire/rust-macros-book,0.9955254858827439
Lommix/bevy_aseprite_ultra,0.9995819815238919
JustAlittleWolf/ModDetectionPreventer,0.9995348160947319
txtx/txtx,0.465862247108199
SuperioOne/nut_webgui,0.9994423370927843
wen-community/wen-program-library,0.694588475262527
MythicalCow/vayu,0.9999616802468383
Katana-Official/Meta,0.9883109743214135
BreakingLead/blockworld,0.9974633651057581
0glabs/0g-storage-node,0.1410264214254883
tinted-theming/tinty,0.8689137737035966
UkoeHB/bevy_cobweb,0.9977223089920547
MercuryWorkshop/epoxy-tls,0.9986304632053146
Sirneij/cryptoflow,0.9955254715580859
theelderbeever/kubectl-guardrails,0.9984656117221545
vigimite/serverless-pipelines-in-rust,0.9955254810945089
richardanaya/gbnf,0.9958589456174957
MirnaGama/hospital-management-api,0.9993518505410036
jkallio/pomodoro-cli,0.9993828029801579
DJ-Raven/java-messenger,0.9961177994129039
linkdd/shipp,0.996792285990935
swlkr/hyped,0.997772599678351
MehVahdJukaar/polytone,0.9978093136831789
sphaerophoria/todo-fs,0.9963072193407794
vesavvo/design_patterns,0.9955254791569755
vexide/vex-v5-qemu,0.9894983664824761
KDABLabs/cxx-qt-servo-webview,0.9688713933816427
fitzgen/safe-gc,0.995726870296669
DHD2280/BCR-Manager,0.9968821646811339
QuState/PhastFT,0.9948651315634176
