repo,srs
polespinasa/bitcoin-grouphug,0.000797937097515084
RReverser/wasmbin,0.0015343136340300633
Rolv-Apneseth/rofi-nerdy,0.0033258584137045005
d0nutptr/talaria,0.001492303289040387
friendlymatthew/leptos-theme,0.002227218008365529
ThomasVitale/langchain4j-spring-boot,0.024241217786602487
utilForever/2024-SNU-Rust-Application,0.004473984710551951
guissalustiano/jewel,0.003325857779971355
arconia-io/arconia,0.00017639117746035205
awwsmm/hello-rust-sdl2-wasm,0.0042726249223680075
maxcountryman/tower-sessions-stores,0.0003975873877606547
Leafwing-Studios/leafwing_manifest,1.882607993268829e-05
kpcyrd/archlinux-userland-fs-cmp,0.0028632637019784923
LadyJessie19/MyFood,0.004473988565027439
borjavb/bq-lineage-tool,0.004140571746206905
MetaGLM/zhipuai-sdk-java-v4,0.0021896955495452194
domwoe/inscription_canister,0.0026434180064945838
loco-rs/chat-rooms,0.0026434190589904945
habuma/spring-ai-examples,0.00320738502358236
vidhanio/hypertext,0.00014264301507285106
regolith-labs/ore-app,0.0416377494651727
Abraxas-365/langchain-rust,0.8193842063933676
ri-char/pwatch,0.0015343128248869874
orhun/rust-stdout-vs-stderr,0.0023282934474761754
SarthakChaudhary46/100-Days-Of-CODE,0.004473986654615523
TennyZhuang/ref-stable-lru,0.0026434160021259244
linux-china/sieve-cache,0.002919430542951379
ThomasVitale/llm-apps-java-langchain4j,0.004473985828830158
GizaSystems/AutomationExercisePractice,0.0023112678251694576
xyzbtw/StashMoverPlugin,7.224942724768221e-05
redixhumayun/raft,0.004473985564941744
worldcoin/orb-core,0.0033258604593943654
sweelam/api-design-and-management-talk,0.0016199299196358158
Bram1903/AntiHealthIndicator,0.022851892217708922
skyzh/mini-lsm-solution-checkpoint,0.0010304199048798612
HerodotusDev/hdp,0.283879737940063
tracyspacy/yacht,0.002589668257638927
schell/crabslab,0.003881769251452279
crrow/kisekifs,0.009116495280558095
jedisct1/rust-sieve-cache,0.00388176832266693
ginger51011/pandoras_pot,3.0488910994876324e-05
effector/swc-plugin,0.003889427587315821
rohaquinlop/complexipy,0.012306326568060922
basro/stylance-rs,0.0110822298983015
