repo,srs
polespinasa/bitcoin-grouphug,0.9992020581919357
RReverser/wasmbin,0.998465665309057
Rolv-Apneseth/rofi-nerdy,0.9966740648903832
d0nutptr/talaria,0.9985076755029662
friendlymatthew/leptos-theme,0.9977727320070594
ThomasVitale/langchain4j-spring-boot,0.9757570507319762
utilForever/2024-SNU-Rust-Application,0.9955258904678812
guissalustiano/jewel,0.9966740529972573
arconia-io/arconia,0.9998235556505403
awwsmm/hello-rust-sdl2-wasm,0.9957272622679707
maxcountryman/tower-sessions-stores,0.9996023254906953
Leafwing-Studios/leafwing_manifest,0.9999811526522571
kpcyrd/archlinux-userland-fs-cmp,0.9971366708048611
LadyJessie19/MyFood,0.9955258837494669
borjavb/bq-lineage-tool,0.9958593164809532
MetaGLM/zhipuai-sdk-java-v4,0.9978100844468094
domwoe/inscription_canister,0.9973565136516878
loco-rs/chat-rooms,0.9973565087856298
habuma/spring-ai-examples,0.996792536797392
vidhanio/hypertext,0.9998573571460664
regolith-labs/ore-app,0.9583593447752454
Abraxas-365/langchain-rust,0.1805915493079579
ri-char/pwatch,0.9984656542020842
orhun/rust-stdout-vs-stderr,0.9976716611510108
SarthakChaudhary46/100-Days-Of-CODE,0.9955258939798964
TennyZhuang/ref-stable-lru,0.9973565280979881
linux-china/sieve-cache,0.9970804931529211
ThomasVitale/llm-apps-java-langchain4j,0.9955258942918649
GizaSystems/AutomationExercisePractice,0.9976884984996854
xyzbtw/StashMoverPlugin,0.9999277435984191
redixhumayun/raft,0.9955258887595075
worldcoin/orb-core,0.9966740563948303
sweelam/api-design-and-management-talk,0.9983800387499062
Bram1903/AntiHealthIndicator,0.9771464693586165
skyzh/mini-lsm-solution-checkpoint,0.9989695633017474
HerodotusDev/hdp,0.7161022648417225
tracyspacy/yacht,0.9974102721081857
schell/crabslab,0.99611812049483
crrow/kisekifs,0.9908828002033295
jedisct1/rust-sieve-cache,0.9961181312286346
ginger51011/pandoras_pot,0.9999694815732204
effector/swc-plugin,0.996110233084903
rohaquinlop/complexipy,0.9876927484164201
basro/stylance-rs,0.9889169271369925
ztroop/dead-ringer,0.9998707002667968
ckaznable/tenki,0.9654825846196198
lukewilliamboswell/roc-ray,0.8984602593187165
CleanroomMC/Fugue,0.253384483318101
AnimatedSwine37/UnrealEssentials,0.9797791584698711
rust-lang/calendar,0.963702960119955
maxdeviant/auk,0.9998287505211755
find-xposed-magisk/LSPatch,0.9977224226128615
ThomasVitale/llm-apps-java-spring-ai,0.9964315504881038
gauge-sh/tach,0.04995719701136196
jinganix/guess,0.9998071840859358
kittynode/kittynode,0.42647986413315037
elkasztano/juliafatou,0.9955258968407171
Rigidity/offline-signer,0.9957272639695017
DedicatedSoftwareDev/OAK-blockchain,0.9955258960862683
VeteranSoftDev/Polkadot-origintrail-parachain,0.9955258954454007
spotlightishere/spotdj,0.9955258857657683
bnkc/unpack,0.9983364382328433
shenjinti/browserlify,0.9955258922506747
malik672/open-stylus,0.9975163131068822
dnwwdwd/homieMatching,0.9972475401186168
mumbleskates/bilrost,0.9745612868261618
m0veax/tplink_m7350,0.999322329431794
LaurentMazare/mamba.rs,0.9955258974879925
jetty/jetty-examples,0.9955124097536001
stackabletech/trino-lb,0.9365876619454689
VanOvermeire/rust-macros-book,0.9955258947258814
Lommix/bevy_aseprite_ultra,0.9995819459478009
JustAlittleWolf/ModDetectionPreventer,0.9995347773581787
txtx/txtx,0.4659632047882333
SuperioOne/nut_webgui,0.9994426114361902
wen-community/wen-program-library,0.6946588706788275
MythicalCow/vayu,0.9999616706933556
Katana-Official/Meta,0.9883141708797814
BreakingLead/blockworld,0.9974635364136653
0glabs/0g-storage-node,0.1411073298469235
tinted-theming/tinty,0.8689464153963151
UkoeHB/bevy_cobweb,0.9977224445019739
MercuryWorkshop/epoxy-tls,0.9986304955836763
Sirneij/cryptoflow,0.995525872015771
theelderbeever/kubectl-guardrails,0.9984656707019262
vigimite/serverless-pipelines-in-rust,0.9955258975607686
richardanaya/gbnf,0.9958593207281672
MirnaGama/hospital-management-api,0.9993521497830711
jkallio/pomodoro-cli,0.9993831030161399
DJ-Raven/java-messenger,0.9961181343817116
linkdd/shipp,0.9967925354818
swlkr/hyped,0.9977727338138703
MehVahdJukaar/polytone,0.9978100570981107
sphaerophoria/todo-fs,0.9963075282000576
vesavvo/design_patterns,0.9955258900040539
vexide/vex-v5-qemu,0.9895012648660212
KDABLabs/cxx-qt-servo-webview,0.9688794343178811
fitzgen/safe-gc,0.9957272504199157
DHD2280/BCR-Manager,0.9968831668079031
QuState/PhastFT,0.9948666693307938
lgdd/liferay-client-extensions-samples,0.9957272636394608
olekspickle/serde_default_utils,0.9994064274205499
gyroflow/gyroflow-plugins,0.9997088494018141
Yanyutin753/refresh-gpt-chat,0.9974345988792438
javpower/easy-flv,0.996674061033946
Privoce/GenUI,0.9979205794205658
ethersync/ethersync,0.730013536073908
huggingface/ratchet,0.04015105178746184
xdev-software/spring-data-eclipse-store,0.5594661558141704
adamperkowski/highlightos,0.9939643736081326
zkVerify/zkVerify,0.6967297184094667
AndrejOrsula/pyo3_bindgen,0.998998657757655
eric9n/Kun-peng,0.6166426583405495
OJarrisonn/vaca,0.9937526478143595
lmorais-dev/qmachina,0.9939643731291158
craigmayhew/pipe-gpt,0.9999694849120894
oldmanpushcart/qianfan4j,0.9967925325897606
Cryolitia/GPD-LinuxControls,0.9963075434065461
axelerator/ruelm,0.9968510677743436
BLaZeKiLL/webray,0.9971923586723828
microsoft/rust-symcrypt,0.9550030821517868
hgaiser/moonshine,0.9997142442337839
Onizuka893/prayerbar,0.9992633552311154
LyonSyonII/run,0.9992879008474379
yoshuawuyts/wasm-http-tools,0.9985076816498493
geofmureithi/edita,0.999433290392211
algorealmInc/SwarmNL,0.9997462305261425
viridia/bevy_reactor,0.9985491528557876
guofei9987/hidden_watermark,0.9958593116824094
madesroches/micromegas,0.7309949409677738
uutils/procps,0.9235165671656329
BigBoot/AutoKuma,0.9923947453026409
ryo33/egui_hooks,0.9977727311587993
timrogers/litra-rs,0.6499032621310212
1brc/nodejs,0.9961181145951488
ismael221/OpenStreamify,0.9982476591170671
solidquant/sandooo,0.9997810958828691
igor-pcholkin/DataAnonymization,0.9967925334206441
crust-gather/crust-gather,0.887924283600241
fasterthanlime/oval,0.9999849747876385
dev-backpack/cllm,0.9979281245842432
VeteranSoftDev/OAK-blockchain,0.9955258960862683
0xlarry/byo_mint,0.9995819445079345
sameh-tarek/Fawry-Internship,0.9970238546374974
ark-network/clArk,0.9986703547274998
mlund/ultimate64,0.9999278517802808
cavemanloverboy/sol,0.9976203681734118
ch32-rs/ch32-data,0.9985076745841852
distributed-lab/taprootized-atomic-swaps,0.9982923132118301
bones-ai/rust-ecosystem-simulation,0.9957272560380012
devyn/nu_plugin_dbus,0.9987473225161632
syurazo/cardputer,0.9964928699997214
bluenote-1577/fairy,0.99998116059348
helius-labs/atlas-txn-sender,0.9997722858537343
xielong/ai-hub,0.9958593237160391
bltavares/axum-content-negotiation,0.99649287343692
worldcoin/mpc-uniqueness-check,0.850333473577378
B-urb/doclytics,0.0925573978451183
Apress/ChatGPT-for-Java,0.9967925360439904
calebfletcher/foc,0.9987484404610024
robertknight/ocrs,0.990480116275076
CASELOAD7000/knockback-sync,0.9956880482496693
Proxtx/crontab_status,0.9955258785600297
nabbisen/mdka-rs,0.3697687118185384
jnhyatt/bevy_mod_async,0.9987096814002708
0xPolygonZero/eth-tx-proof,0.9921535885159442
orca-so/whirlpool-cpi,0.9996481417472267
0xBoji/180DaysOfRust,0.9955258873752844
gaucho-labs/leptos-hotkeys,0.8037702655506581
AdinAck/cargo-embassy,0.9998815647679891
freethinkel/tauri-nspopover-plugin,0.9966141265257255
YuhanLiin/micropb,0.9960540961445186
jakzo/Il2CppDecompiler,0.995859316062092
AkshathSai/streamspace,0.9868894570120311
software-mansion/cairo-profiler,0.9056785014657698
